sample_idx,influence_epoch_0,influence_epoch_1,influence_epoch_2,influence_epoch_3,influence_epoch_4,influence_epoch_5,influence_epoch_6,influence_epoch_7,influence_epoch_8,influence_epoch_9,influence_epoch_10,influence_epoch_11,influence_epoch_12,influence_epoch_13,influence_epoch_14,influence_epoch_15,influence_epoch_16,influence_epoch_17,influence_epoch_18,influence_epoch_19,influence_epoch_20
0,4.448965e-06,3.0343517e-07,3.318064e-07,3.3181186e-07,3.4458753e-07,3.6698566e-07,3.5399353e-07,3.412506e-07,3.383998e-07,3.2540947e-07,3.1974832e-07,3.0967476e-07,3.009618e-07,3.0079718e-07,2.9611056e-07,2.9010607e-07,2.7858914e-07,2.7025817e-07,2.6332054e-07,2.5296504e-07,2.430479e-07
1,3.179076e-06,4.3863838e-07,4.612707e-07,4.5277966e-07,4.5706884e-07,4.7202093e-07,4.5269053e-07,4.344747e-07,4.267481e-07,4.0792247e-07,3.956411e-07,3.818518e-07,3.6946403e-07,3.6530582e-07,3.5519224e-07,3.4480945e-07,3.3000651e-07,3.179939e-07,3.0849333e-07,2.952038e-07,2.8238537e-07
2,2.7838075e-06,9.0744834e-10,1.9190566e-08,2.5822601e-08,3.6414576e-08,5.0747758e-08,5.03901e-08,5.147581e-08,5.345214e-08,5.196216e-08,5.2140194e-08,5.3077883e-08,5.5209057e-08,5.8018713e-08,5.998231e-08,6.2053005e-08,5.998936e-08,5.963716e-08,5.8413434e-08,5.6717454e-08,5.4515795e-08
3,7.138948e-06,-1.4994248e-07,-1.1810789e-07,-9.8893e-08,-7.083008e-08,-3.6075562e-08,-2.9633156e-08,-2.455181e-08,-1.348144e-08,-7.789822e-09,5.888978e-09,9.452378e-09,1.4563739e-08,2.5673671e-08,3.7332484e-08,4.5882643e-08,4.69513e-08,5.1157258e-08,5.3496933e-08,5.4524207e-08,5.5757937e-08
4,1.053171e-06,-6.146945e-08,-2.5707436e-08,-1.4139118e-08,1.8384299e-09,2.766069e-08,3.03736e-08,3.438015e-08,3.8918643e-08,4.1997623e-08,4.516039e-08,4.668641e-08,4.8703896e-08,5.7309762e-08,6.237042e-08,6.170944e-08,5.6314775e-08,5.4320026e-08,5.3983968e-08,4.9102255e-08,4.2179636e-08
5,1.0471836e-07,1.0302515e-07,8.2055095e-08,6.825866e-08,5.379954e-08,4.0692356e-08,3.5498772e-08,2.8128056e-08,2.4164024e-08,2.0630978e-08,1.8912942e-08,1.4516104e-08,1.0059011e-08,7.2266175e-09,4.1260364e-09,9.822543e-10,1.0473968e-09,-1.5498358e-09,-1.5741648e-09,-2.0472726e-09,-1.2654482e-09
6,7.1865943e-06,7.184099e-08,1.1903694e-07,1.3602858e-07,1.6850345e-07,2.1295455e-07,2.0983862e-07,2.0618245e-07,2.1415963e-07,2.11312e-07,2.195793e-07,2.155266e-07,2.129018e-07,2.2188033e-07,2.2788754e-07,2.2966833e-07,2.2178028e-07,2.2006861e-07,2.1736923e-07,2.1076721e-07,2.0419793e-07
7,5.5624237e-06,1.1141401e-07,1.4268608e-07,1.5295473e-07,1.7504817e-07,2.0437756e-07,1.9998788e-07,1.9486197e-07,1.9872823e-07,1.9403979e-07,1.9773779e-07,1.930166e-07,1.8939227e-07,1.937633e-07,1.9607342e-07,1.9634444e-07,1.9009804e-07,1.8770697e-07,1.8462288e-07,1.7921593e-07,1.742983e-07
8,-4.984316e-07,-1.6557874e-07,-1.5488115e-07,-1.4383073e-07,-1.3476392e-07,-1.2795397e-07,-1.209711e-07,-1.1180339e-07,-1.0720214e-07,-1.0142401e-07,-9.803182e-08,-9.1588504e-08,-8.516463e-08,-8.232155e-08,-7.817425e-08,-7.3272076e-08,-7.042172e-08,-6.579694e-08,-6.39036e-08,-6.0740376e-08,-5.8722435e-08
9,2.124119e-07,9.5767874e-08,7.0156375e-08,5.5302678e-08,3.9010757e-08,2.2386558e-08,1.851015e-08,1.0589133e-08,5.9472427e-09,3.5198013e-09,2.543743e-09,-2.7534384e-09,-8.629399e-09,-1.1541999e-08,-1.4494162e-08,-1.8593823e-08,-1.7532386e-08,-2.070638e-08,-2.0014312e-08,-2.0170319e-08,-1.8641373e-08
