sample_idx,influence_epoch_0,influence_epoch_1,influence_epoch_2,influence_epoch_3,influence_epoch_4,influence_epoch_5,influence_epoch_6,influence_epoch_7,influence_epoch_8,influence_epoch_9,influence_epoch_10,influence_epoch_11,influence_epoch_12,influence_epoch_13,influence_epoch_14,influence_epoch_15,influence_epoch_16,influence_epoch_17,influence_epoch_18,influence_epoch_19,influence_epoch_20
0,-11.27002,-11.27002,-11.27002,-11.27002,-11.27002,-11.27002,-11.27002,-11.27002,-11.27002,-11.27002,-11.27002,-11.27002,-11.27002,-11.27002,-11.27002,-11.27002,-11.27002,-11.27002,-11.27002,-11.27002,-11.27002
1,17.18634,17.18634,17.18634,17.18634,17.18634,17.18634,17.18634,17.18634,17.18634,17.18634,17.18634,17.18634,17.18634,17.18634,17.18634,17.18634,17.18634,17.18634,17.18634,17.18634,17.18634
2,-74.73096,-74.73096,-74.73096,-74.73096,-74.73096,-74.73096,-74.73096,-74.73096,-74.73096,-74.73096,-74.73096,-74.73096,-74.73096,-74.73096,-74.73096,-74.73096,-74.73096,-74.73096,-74.73096,-74.73096,-74.73096
3,-20.218018,-20.218018,-20.218018,-20.218018,-20.218018,-20.218018,-20.218018,-20.218018,-20.218018,-20.218018,-20.218018,-20.218018,-20.218018,-20.218018,-20.218018,-20.218018,-20.218018,-20.218018,-20.218018,-20.218018,-20.218018
4,-150.0268,-150.0268,-150.0268,-150.0268,-150.0268,-150.0268,-150.0268,-150.0268,-150.0268,-150.0268,-150.0268,-150.0268,-150.0268,-150.0268,-150.0268,-150.0268,-150.0268,-150.0268,-150.0268,-150.0268,-150.0268
5,35.76416,35.76416,35.76416,35.76416,35.76416,35.76416,35.76416,35.76416,35.76416,35.76416,35.76416,35.76416,35.76416,35.76416,35.76416,35.76416,35.76416,35.76416,35.76416,35.76416,35.76416
6,17.001709,17.001709,17.001709,17.001709,17.001709,17.001709,17.001709,17.001709,17.001709,17.001709,17.001709,17.001709,17.001709,17.001709,17.001709,17.001709,17.001709,17.001709,17.001709,17.001709,17.001709
7,-58.882263,-58.882263,-58.882263,-58.882263,-58.882263,-58.882263,-58.882263,-58.882263,-58.882263,-58.882263,-58.882263,-58.882263,-58.882263,-58.882263,-58.882263,-58.882263,-58.882263,-58.882263,-58.882263,-58.882263,-58.882263
8,-98.70117,-98.70117,-98.70117,-98.70117,-98.70117,-98.70117,-98.70117,-98.70117,-98.70117,-98.70117,-98.70117,-98.70117,-98.70117,-98.70117,-98.70117,-98.70117,-98.70117,-98.70117,-98.70117,-98.70117,-98.70117
9,21.879272,21.879272,21.879272,21.879272,21.879272,21.879272,21.879272,21.879272,21.879272,21.879272,21.879272,21.879272,21.879272,21.879272,21.879272,21.879272,21.879272,21.879272,21.879272,21.879272,21.879272
10,21.473694,21.473694,21.473694,21.473694,21.473694,21.473694,21.473694,21.473694,21.473694,21.473694,21.473694,21.473694,21.473694,21.473694,21.473694,21.473694,21.473694,21.473694,21.473694,21.473694,21.473694
11,34.907227,34.907227,34.907227,34.907227,34.907227,34.907227,34.907227,34.907227,34.907227,34.907227,34.907227,34.907227,34.907227,34.907227,34.907227,34.907227,34.907227,34.907227,34.907227,34.907227,34.907227
12,-91.72479,-91.72479,-91.72479,-91.72479,-91.72479,-91.72479,-91.72479,-91.72479,-91.72479,-91.72479,-91.72479,-91.72479,-91.72479,-91.72479,-91.72479,-91.72479,-91.72479,-91.72479,-91.72479,-91.72479,-91.72479
13,106.16327,106.16327,106.16327,106.16327,106.16327,106.16327,106.16327,106.16327,106.16327,106.16327,106.16327,106.16327,106.16327,106.16327,106.16327,106.16327,106.16327,106.16327,106.16327,106.16327,106.16327
14,-109.42444,-109.42444,-109.42444,-109.42444,-109.42444,-109.42444,-109.42444,-109.42444,-109.42444,-109.42444,-109.42444,-109.42444,-109.42444,-109.42444,-109.42444,-109.42444,-109.42444,-109.42444,-109.42444,-109.42444,-109.42444
15,-89.72308,-89.72308,-89.72308,-89.72308,-89.72308,-89.72308,-89.72308,-89.72308,-89.72308,-89.72308,-89.72308,-89.72308,-89.72308,-89.72308,-89.72308,-89.72308,-89.72308,-89.72308,-89.72308,-89.72308,-89.72308
16,-106.33325,-106.33325,-106.33325,-106.33325,-106.33325,-106.33325,-106.33325,-106.33325,-106.33325,-106.33325,-106.33325,-106.33325,-106.33325,-106.33325,-106.33325,-106.33325,-106.33325,-106.33325,-106.33325,-106.33325,-106.33325
17,-64.19592,-64.19592,-64.19592,-64.19592,-64.19592,-64.19592,-64.19592,-64.19592,-64.19592,-64.19592,-64.19592,-64.19592,-64.19592,-64.19592,-64.19592,-64.19592,-64.19592,-64.19592,-64.19592,-64.19592,-64.19592
18,-3.1782837,-3.1782837,-3.1782837,-3.1782837,-3.1782837,-3.1782837,-3.1782837,-3.1782837,-3.1782837,-3.1782837,-3.1782837,-3.1782837,-3.1782837,-3.1782837,-3.1782837,-3.1782837,-3.1782837,-3.1782837,-3.1782837,-3.1782837,-3.1782837
19,-16.12799,-16.12799,-16.12799,-16.12799,-16.12799,-16.12799,-16.12799,-16.12799,-16.12799,-16.12799,-16.12799,-16.12799,-16.12799,-16.12799,-16.12799,-16.12799,-16.12799,-16.12799,-16.12799,-16.12799,-16.12799
20,7.6900024,7.6900024,7.6900024,7.6900024,7.6900024,7.6900024,7.6900024,7.6900024,7.6900024,7.6900024,7.6900024,7.6900024,7.6900024,7.6900024,7.6900024,7.6900024,7.6900024,7.6900024,7.6900024,7.6900024,7.6900024
21,19.86444,19.86444,19.86444,19.86444,19.86444,19.86444,19.86444,19.86444,19.86444,19.86444,19.86444,19.86444,19.86444,19.86444,19.86444,19.86444,19.86444,19.86444,19.86444,19.86444,19.86444
22,-78.326416,-78.326416,-78.326416,-78.326416,-78.326416,-78.326416,-78.326416,-78.326416,-78.326416,-78.326416,-78.326416,-78.326416,-78.326416,-78.326416,-78.326416,-78.326416,-78.326416,-78.326416,-78.326416,-78.326416,-78.326416
23,50.809204,50.809204,50.809204,50.809204,50.809204,50.809204,50.809204,50.809204,50.809204,50.809204,50.809204,50.809204,50.809204,50.809204,50.809204,50.809204,50.809204,50.809204,50.809204,50.809204,50.809204
24,-34.38611,-34.38611,-34.38611,-34.38611,-34.38611,-34.38611,-34.38611,-34.38611,-34.38611,-34.38611,-34.38611,-34.38611,-34.38611,-34.38611,-34.38611,-34.38611,-34.38611,-34.38611,-34.38611,-34.38611,-34.38611
25,-10.511902,-10.511902,-10.511902,-10.511902,-10.511902,-10.511902,-10.511902,-10.511902,-10.511902,-10.511902,-10.511902,-10.511902,-10.511902,-10.511902,-10.511902,-10.511902,-10.511902,-10.511902,-10.511902,-10.511902,-10.511902
26,41.923462,41.923462,41.923462,41.923462,41.923462,41.923462,41.923462,41.923462,41.923462,41.923462,41.923462,41.923462,41.923462,41.923462,41.923462,41.923462,41.923462,41.923462,41.923462,41.923462,41.923462
27,-12.232788,-12.232788,-12.232788,-12.232788,-12.232788,-12.232788,-12.232788,-12.232788,-12.232788,-12.232788,-12.232788,-12.232788,-12.232788,-12.232788,-12.232788,-12.232788,-12.232788,-12.232788,-12.232788,-12.232788,-12.232788
28,-20.172607,-20.172607,-20.172607,-20.172607,-20.172607,-20.172607,-20.172607,-20.172607,-20.172607,-20.172607,-20.172607,-20.172607,-20.172607,-20.172607,-20.172607,-20.172607,-20.172607,-20.172607,-20.172607,-20.172607,-20.172607
29,-110.73688,-110.73688,-110.73688,-110.73688,-110.73688,-110.73688,-110.73688,-110.73688,-110.73688,-110.73688,-110.73688,-110.73688,-110.73688,-110.73688,-110.73688,-110.73688,-110.73688,-110.73688,-110.73688,-110.73688,-110.73688
30,-64.09424,-64.09424,-64.09424,-64.09424,-64.09424,-64.09424,-64.09424,-64.09424,-64.09424,-64.09424,-64.09424,-64.09424,-64.09424,-64.09424,-64.09424,-64.09424,-64.09424,-64.09424,-64.09424,-64.09424,-64.09424
31,-95.47266,-95.47266,-95.47266,-95.47266,-95.47266,-95.47266,-95.47266,-95.47266,-95.47266,-95.47266,-95.47266,-95.47266,-95.47266,-95.47266,-95.47266,-95.47266,-95.47266,-95.47266,-95.47266,-95.47266,-95.47266
32,104.86914,104.86914,104.86914,104.86914,104.86914,104.86914,104.86914,104.86914,104.86914,104.86914,104.86914,104.86914,104.86914,104.86914,104.86914,104.86914,104.86914,104.86914,104.86914,104.86914,104.86914
33,108.069214,108.069214,108.069214,108.069214,108.069214,108.069214,108.069214,108.069214,108.069214,108.069214,108.069214,108.069214,108.069214,108.069214,108.069214,108.069214,108.069214,108.069214,108.069214,108.069214,108.069214
34,-39.13434,-39.13434,-39.13434,-39.13434,-39.13434,-39.13434,-39.13434,-39.13434,-39.13434,-39.13434,-39.13434,-39.13434,-39.13434,-39.13434,-39.13434,-39.13434,-39.13434,-39.13434,-39.13434,-39.13434,-39.13434
35,56.960083,56.960083,56.960083,56.960083,56.960083,56.960083,56.960083,56.960083,56.960083,56.960083,56.960083,56.960083,56.960083,56.960083,56.960083,56.960083,56.960083,56.960083,56.960083,56.960083,56.960083
36,-22.901978,-22.901978,-22.901978,-22.901978,-22.901978,-22.901978,-22.901978,-22.901978,-22.901978,-22.901978,-22.901978,-22.901978,-22.901978,-22.901978,-22.901978,-22.901978,-22.901978,-22.901978,-22.901978,-22.901978,-22.901978
37,-148.23541,-148.23541,-148.23541,-148.23541,-148.23541,-148.23541,-148.23541,-148.23541,-148.23541,-148.23541,-148.23541,-148.23541,-148.23541,-148.23541,-148.23541,-148.23541,-148.23541,-148.23541,-148.23541,-148.23541,-148.23541
38,37.139526,37.139526,37.139526,37.139526,37.139526,37.139526,37.139526,37.139526,37.139526,37.139526,37.139526,37.139526,37.139526,37.139526,37.139526,37.139526,37.139526,37.139526,37.139526,37.139526,37.139526
39,33.124695,33.124695,33.124695,33.124695,33.124695,33.124695,33.124695,33.124695,33.124695,33.124695,33.124695,33.124695,33.124695,33.124695,33.124695,33.124695,33.124695,33.124695,33.124695,33.124695,33.124695
40,91.21149,91.21149,91.21149,91.21149,91.21149,91.21149,91.21149,91.21149,91.21149,91.21149,91.21149,91.21149,91.21149,91.21149,91.21149,91.21149,91.21149,91.21149,91.21149,91.21149,91.21149
41,123.13745,123.13745,123.13745,123.13745,123.13745,123.13745,123.13745,123.13745,123.13745,123.13745,123.13745,123.13745,123.13745,123.13745,123.13745,123.13745,123.13745,123.13745,123.13745,123.13745,123.13745
42,-19.619568,-19.619568,-19.619568,-19.619568,-19.619568,-19.619568,-19.619568,-19.619568,-19.619568,-19.619568,-19.619568,-19.619568,-19.619568,-19.619568,-19.619568,-19.619568,-19.619568,-19.619568,-19.619568,-19.619568,-19.619568
43,-159.74487,-159.74487,-159.74487,-159.74487,-159.74487,-159.74487,-159.74487,-159.74487,-159.74487,-159.74487,-159.74487,-159.74487,-159.74487,-159.74487,-159.74487,-159.74487,-159.74487,-159.74487,-159.74487,-159.74487,-159.74487
44,61.504517,61.504517,61.504517,61.504517,61.504517,61.504517,61.504517,61.504517,61.504517,61.504517,61.504517,61.504517,61.504517,61.504517,61.504517,61.504517,61.504517,61.504517,61.504517,61.504517,61.504517
45,47.60382,47.60382,47.60382,47.60382,47.60382,47.60382,47.60382,47.60382,47.60382,47.60382,47.60382,47.60382,47.60382,47.60382,47.60382,47.60382,47.60382,47.60382,47.60382,47.60382,47.60382
46,109.95154,109.95154,109.95154,109.95154,109.95154,109.95154,109.95154,109.95154,109.95154,109.95154,109.95154,109.95154,109.95154,109.95154,109.95154,109.95154,109.95154,109.95154,109.95154,109.95154,109.95154
47,33.5907,33.5907,33.5907,33.5907,33.5907,33.5907,33.5907,33.5907,33.5907,33.5907,33.5907,33.5907,33.5907,33.5907,33.5907,33.5907,33.5907,33.5907,33.5907,33.5907,33.5907
48,81.49548,81.49548,81.49548,81.49548,81.49548,81.49548,81.49548,81.49548,81.49548,81.49548,81.49548,81.49548,81.49548,81.49548,81.49548,81.49548,81.49548,81.49548,81.49548,81.49548,81.49548
49,8.066772,8.066772,8.066772,8.066772,8.066772,8.066772,8.066772,8.066772,8.066772,8.066772,8.066772,8.066772,8.066772,8.066772,8.066772,8.066772,8.066772,8.066772,8.066772,8.066772,8.066772
50,49.94751,49.94751,49.94751,49.94751,49.94751,49.94751,49.94751,49.94751,49.94751,49.94751,49.94751,49.94751,49.94751,49.94751,49.94751,49.94751,49.94751,49.94751,49.94751,49.94751,49.94751
51,1.6356201,1.6356201,1.6356201,1.6356201,1.6356201,1.6356201,1.6356201,1.6356201,1.6356201,1.6356201,1.6356201,1.6356201,1.6356201,1.6356201,1.6356201,1.6356201,1.6356201,1.6356201,1.6356201,1.6356201,1.6356201
52,36.66919,36.66919,36.66919,36.66919,36.66919,36.66919,36.66919,36.66919,36.66919,36.66919,36.66919,36.66919,36.66919,36.66919,36.66919,36.66919,36.66919,36.66919,36.66919,36.66919,36.66919
53,-73.82178,-73.82178,-73.82178,-73.82178,-73.82178,-73.82178,-73.82178,-73.82178,-73.82178,-73.82178,-73.82178,-73.82178,-73.82178,-73.82178,-73.82178,-73.82178,-73.82178,-73.82178,-73.82178,-73.82178,-73.82178
54,5.0109863,5.0109863,5.0109863,5.0109863,5.0109863,5.0109863,5.0109863,5.0109863,5.0109863,5.0109863,5.0109863,5.0109863,5.0109863,5.0109863,5.0109863,5.0109863,5.0109863,5.0109863,5.0109863,5.0109863,5.0109863
