sample_idx,influence_epoch_0,influence_epoch_1,influence_epoch_2,influence_epoch_3,influence_epoch_4,influence_epoch_5,influence_epoch_6,influence_epoch_7,influence_epoch_8,influence_epoch_9,influence_epoch_10,influence_epoch_11,influence_epoch_12,influence_epoch_13,influence_epoch_14,influence_epoch_15,influence_epoch_16,influence_epoch_17,influence_epoch_18,influence_epoch_19,influence_epoch_20
0,0.00010771395858319011,0.00010696676753286739,0.00010280585913278628,9.81169535079971e-05,9.505183056171518e-05,9.235011620330625e-05,8.864068510592915e-05,8.516067304299213e-05,8.159403387981001e-05,7.896861089830054e-05,7.54089527472388e-05,6.419993669987889e-05,6.213279274379602e-05,6.0618420844548386e-05,5.90068527017138e-05,5.6829003347957044e-05,5.526713549625129e-05,5.3269276904757134e-05,5.206670566258254e-05,4.664703812159132e-05,4.5331696412176824e-05
1,0.00011003196731326171,0.000108939815996564,0.00010444222443038598,9.890945274673868e-05,8.547539637220325e-05,8.306226083368528e-05,7.083719328511506e-05,6.838975838763872e-05,6.601128960755887e-05,6.420467156567611e-05,6.166892426699633e-05,5.242975948203821e-05,5.093283877067734e-05,5.0030505568429366e-05,4.9206535099074245e-05,4.8098953695443926e-05,4.712160074996063e-05,4.5819313563697505e-05,4.502362001949223e-05,4.4149723486043515e-05,4.2974398900696544e-05
2,2.1401288986453437e-05,2.0664126774136094e-05,6.760823744116351e-05,6.523631273012143e-05,6.590833817608655e-05,6.536011098069139e-05,6.427353843901074e-05,6.181549445318524e-05,6.0204622728633696e-05,5.824341555853607e-05,5.680553874844918e-05,5.5053311771189326e-05,5.320237662090221e-05,5.2254825524869375e-05,5.177237914176658e-05,5.011244963679929e-05,4.9005177796061615e-05,4.763824214023771e-05,4.697636696801055e-05,4.593998400378041e-05,4.463215993746417e-05
3,0.0001015637775126379,9.98453548818361e-05,9.654525971563999e-05,9.239482377597596e-05,9.026023036858533e-05,8.786099673307035e-05,8.50707228819374e-05,8.165365962486249e-05,7.855755349737592e-05,7.636565885331948e-05,7.348997124790913e-05,7.131307177769486e-05,6.900027904339368e-05,6.702835465694079e-05,6.174514474696479e-05,5.9924285924353175e-05,5.8657882516854446e-05,5.66353211979731e-05,5.540350088267587e-05,5.446522355487105e-05,5.306734354962828e-05
4,5.871463971561752e-05,5.873609105765354e-05,5.713901193666971e-05,5.573179342354706e-05,5.147144629063405e-05,5.05283209577101e-05,4.968477601869381e-05,4.868653008088586e-05,4.7448144443478666e-05,4.7010134760057557e-05,4.551982760312967e-05,4.452999160275795e-05,4.373701552685816e-05,4.278151356993476e-05,4.210315671662102e-05,4.117870480695274e-05,4.0658032994542736e-05,3.9606797028682196e-05,3.9054145148838874e-05,3.84952781823813e-05,3.7852895293326586e-05
5,-5.746504393755459e-06,-6.378956877597375e-06,-5.679788664565421e-06,-4.7010502894409e-06,-4.143350961385295e-06,-3.891683256370016e-06,-3.2417538241134027e-06,-2.3607054390595295e-06,-1.5946898274705747e-06,3.885180420184043e-06,4.575537532218732e-06,4.911238538625184e-06,5.507598063559271e-06,5.743888155848254e-06,6.060648120183032e-06,6.540286645758897e-06,7.055892499920447e-06,7.901704251707997e-06,8.025633680517786e-06,8.037067836994539e-06,8.59055902765249e-06
6,0.00012069087734562345,0.00011927720659878105,0.00010118845930264798,9.643817285541446e-05,9.455164599057753e-05,9.189757191052194e-05,8.861595056077932e-05,8.512634220824111e-05,8.174182521179319e-05,7.907517279818422e-05,7.58807584134047e-05,7.330254508269718e-05,7.080822424177313e-05,6.886690339160851e-05,6.697682924277615e-05,6.466147685569013e-05,6.32526599438279e-05,6.049240810534684e-05,5.899786404916085e-05,5.7581997112720275e-05,5.595571936282795e-05
7,5.7680591387907046e-05,5.793159235327039e-05,5.591820516565349e-05,5.39654951862758e-05,5.3284910944057626e-05,5.207366436661687e-05,5.08104428590741e-05,4.956655203568516e-05,4.798262990516378e-05,4.743295936350478e-05,4.590196054050466e-05,4.491079090803396e-05,4.402183716592845e-05,4.320409803767689e-05,4.22892007190967e-05,4.1101614573562985e-05,4.021102869592142e-05,3.864123357197968e-05,3.7941153328574726e-05,3.757919764757389e-05,3.668356650450733e-05
8,1.4742435379957896e-05,1.4125219493507757e-05,1.3478377859428292e-05,1.258314868209709e-05,1.1336395404214273e-05,1.1072856927057728e-05,1.0436072153424902e-05,9.380674499880114e-06,8.841008348099422e-06,8.211466599277627e-06,8.001372329999868e-06,7.726967372718719e-06,6.921682808865626e-06,6.337597254287175e-06,5.679709117544008e-06,4.944551877542835e-06,3.762456851291063e-06,3.310547680939635e-06,3.1107632717066734e-06,2.806507715376938e-06,2.657083114627312e-06
9,-1.5439213682839183e-05,-1.6995274541841354e-05,-1.6736691213736778e-05,-1.5958266842062585e-05,-1.5956357390678024e-05,-1.582233733643079e-05,-1.527139484824147e-05,-1.4394583588000387e-05,-1.3648137450218202e-05,-1.2875231615907978e-05,-1.2484352497267536e-05,-1.1762463720515371e-05,-1.1179927780176513e-05,-1.1098952330939937e-05,-1.108857511280803e-05,-1.0720342623244506e-05,-1.029320282395929e-05,-9.440726833418011e-06,-9.313576490967535e-06,-9.37469595373841e-06,-8.760384283959865e-06
10,6.587395273527363e-07,1.0233421107841423e-06,1.3569591819759807e-06,1.7964247135751066e-06,2.2886392234795495e-06,2.3757987501085156e-06,4.936208782964968e-06,5.5222914288606264e-06,6.0214501372684024e-06,6.3821679227658024e-06,6.625527532492015e-06,6.747920933662499e-06,6.989948154455305e-06,7.170560701752038e-06,7.537230476373224e-06,7.825345011042373e-06,8.17424583601678e-06,8.367023452592547e-06,8.473467376461485e-06,8.821454386634287e-06,8.85415527591249e-06
11,-4.014419646409806e-06,-4.310946787882131e-06,-1.7531332923681475e-06,-7.271381546161138e-07,-8.46823022584431e-08,2.1240091882646084e-07,9.688820136943832e-07,1.98903851560317e-06,2.913631033152342e-06,3.674785664770752e-06,4.345430839748588e-06,4.582284738717135e-06,5.110860187414801e-06,5.3113069079699925e-06,5.566296269535087e-06,5.981511869322276e-06,6.390681177435909e-06,7.0949607179500164e-06,7.182870678661857e-06,7.1970767094171605e-06,7.67241914581973e-06
