sample_idx,influence_epoch_0,influence_epoch_1,influence_epoch_2,influence_epoch_3,influence_epoch_4,influence_epoch_5,influence_epoch_6,influence_epoch_7,influence_epoch_8,influence_epoch_9,influence_epoch_10,influence_epoch_11,influence_epoch_12,influence_epoch_13,influence_epoch_14,influence_epoch_15,influence_epoch_16,influence_epoch_17,influence_epoch_18,influence_epoch_19,influence_epoch_20
0,-11.149048,-11.149048,-11.149048,-11.149048,-11.149048,-11.149048,-11.149048,-11.149048,-11.149048,-11.149048,-11.149048,-11.149048,-11.149048,-11.149048,-11.149048,-11.149048,-11.149048,-11.149048,-11.149048,-11.149048,-11.149048
1,13.047867,13.047867,13.047867,13.047867,13.047867,13.047867,13.047867,13.047867,13.047867,13.047867,13.047867,13.047867,13.047867,13.047867,13.047867,13.047867,13.047867,13.047867,13.047867,13.047867,13.047867
2,-20.401672,-20.401672,-20.401672,-20.401672,-20.401672,-20.401672,-20.401672,-20.401672,-20.401672,-20.401672,-20.401672,-20.401672,-20.401672,-20.401672,-20.401672,-20.401672,-20.401672,-20.401672,-20.401672,-20.401672,-20.401672
3,-33.30504,-33.30504,-33.30504,-33.30504,-33.30504,-33.30504,-33.30504,-33.30504,-33.30504,-33.30504,-33.30504,-33.30504,-33.30504,-33.30504,-33.30504,-33.30504,-33.30504,-33.30504,-33.30504,-33.30504,-33.30504
4,35.902817,35.902817,35.902817,35.902817,35.902817,35.902817,35.902817,35.902817,35.902817,35.902817,35.902817,35.902817,35.902817,35.902817,35.902817,35.902817,35.902817,35.902817,35.902817,35.902817,35.902817
5,-13.414352,-13.414352,-13.414352,-13.414352,-13.414352,-13.414352,-13.414352,-13.414352,-13.414352,-13.414352,-13.414352,-13.414352,-13.414352,-13.414352,-13.414352,-13.414352,-13.414352,-13.414352,-13.414352,-13.414352,-13.414352
6,9.839294,9.839294,9.839294,9.839294,9.839294,9.839294,9.839294,9.839294,9.839294,9.839294,9.839294,9.839294,9.839294,9.839294,9.839294,9.839294,9.839294,9.839294,9.839294,9.839294,9.839294
7,64.98529,64.98529,64.98529,64.98529,64.98529,64.98529,64.98529,64.98529,64.98529,64.98529,64.98529,64.98529,64.98529,64.98529,64.98529,64.98529,64.98529,64.98529,64.98529,64.98529,64.98529
8,1.8395996,1.8395996,1.8395996,1.8395996,1.8395996,1.8395996,1.8395996,1.8395996,1.8395996,1.8395996,1.8395996,1.8395996,1.8395996,1.8395996,1.8395996,1.8395996,1.8395996,1.8395996,1.8395996,1.8395996,1.8395996
9,-83.805534,-83.805534,-83.805534,-83.805534,-83.805534,-83.805534,-83.805534,-83.805534,-83.805534,-83.805534,-83.805534,-83.805534,-83.805534,-83.805534,-83.805534,-83.805534,-83.805534,-83.805534,-83.805534,-83.805534,-83.805534
10,-1.0573578,-1.0573578,-1.0573578,-1.0573578,-1.0573578,-1.0573578,-1.0573578,-1.0573578,-1.0573578,-1.0573578,-1.0573578,-1.0573578,-1.0573578,-1.0573578,-1.0573578,-1.0573578,-1.0573578,-1.0573578,-1.0573578,-1.0573578,-1.0573578
11,12.115204,12.115204,12.115204,12.115204,12.115204,12.115204,12.115204,12.115204,12.115204,12.115204,12.115204,12.115204,12.115204,12.115204,12.115204,12.115204,12.115204,12.115204,12.115204,12.115204,12.115204
12,-27.458664,-27.458664,-27.458664,-27.458664,-27.458664,-27.458664,-27.458664,-27.458664,-27.458664,-27.458664,-27.458664,-27.458664,-27.458664,-27.458664,-27.458664,-27.458664,-27.458664,-27.458664,-27.458664,-27.458664,-27.458664
13,-16.999435,-16.999435,-16.999435,-16.999435,-16.999435,-16.999435,-16.999435,-16.999435,-16.999435,-16.999435,-16.999435,-16.999435,-16.999435,-16.999435,-16.999435,-16.999435,-16.999435,-16.999435,-16.999435,-16.999435,-16.999435
