sample_idx,influence_epoch_0,influence_epoch_1,influence_epoch_2,influence_epoch_3,influence_epoch_4,influence_epoch_5,influence_epoch_6,influence_epoch_7,influence_epoch_8,influence_epoch_9,influence_epoch_10,influence_epoch_11,influence_epoch_12,influence_epoch_13,influence_epoch_14,influence_epoch_15,influence_epoch_16,influence_epoch_17,influence_epoch_18,influence_epoch_19,influence_epoch_20
0,4.4749018e-07,4.3271788e-07,4.2105216e-07,4.1317105e-07,4.0392695e-07,3.9832184e-07,3.848861e-07,3.7859377e-07,3.7167047e-07,3.6488927e-07,3.4494497e-07,3.367213e-07,3.2417393e-07,3.1557465e-07,3.0311548e-07,2.9857483e-07,2.844913e-07,2.7604256e-07,2.6834186e-07,2.5985582e-07,2.4831525e-07
1,3.3741998e-07,3.4151736e-07,3.3093625e-07,3.4233585e-07,3.386931e-07,3.3487822e-07,3.3418564e-07,3.419018e-07,3.354162e-07,3.3784227e-07,3.304756e-07,3.356556e-07,3.2343178e-07,3.2570824e-07,3.251862e-07,3.213313e-07,3.047321e-07,3.1295758e-07,3.021596e-07,3.0246292e-07,2.9138846e-07
2,-2.0486482e-08,-1.6870153e-08,-1.7011672e-08,-1.726422e-08,-1.6703993e-08,-1.6213463e-08,-1.5107119e-08,-1.3514381e-08,-1.2140617e-08,-8.3643386e-09,-5.390831e-09,-1.700613e-10,1.8530528e-09,6.467417e-09,1.010838e-08,1.177159e-08,1.5933324e-08,1.9941822e-08,2.2022839e-08,2.7991376e-08,2.8577329e-08
3,1.6005797e-07,1.7039773e-07,1.7325135e-07,1.8403364e-07,1.8306059e-07,1.9700781e-07,2.0392736e-07,2.0119569e-07,1.9767458e-07,1.9830281e-07,2.0769221e-07,2.0757261e-07,2.0042785e-07,2.0506013e-07,2.0116931e-07,1.9784557e-07,1.8946707e-07,1.8744618e-07,1.894748e-07,1.8010564e-07,1.7097318e-07
4,-7.785257e-08,-6.4935655e-08,-5.3721436e-08,-4.385757e-08,-3.3920912e-08,-1.968948e-08,-1.1790405e-08,1.4234729e-09,1.0244236e-08,2.06511e-08,3.015873e-08,3.4579628e-08,4.562537e-08,5.6027716e-08,6.404858e-08,7.064753e-08,7.424438e-08,8.158818e-08,8.809472e-08,8.779284e-08,9.4208076e-08
5,-1.0755886e-07,-9.716422e-08,-9.0098666e-08,-8.182863e-08,-7.418342e-08,-6.414763e-08,-5.7387922e-08,-4.34394e-08,-3.5112976e-08,-3.014361e-08,-1.9652362e-08,-8.457164e-09,-4.4542503e-09,2.8459226e-09,1.24041435e-08,1.5349087e-08,2.3042674e-08,3.2486753e-08,3.6094548e-08,4.2616648e-08,5.011657e-08
6,4.3194507e-07,4.29541e-07,4.3403628e-07,4.3420334e-07,4.1592102e-07,4.1543103e-07,4.1709177e-07,3.9801535e-07,3.9298266e-07,3.9290944e-07,3.7901282e-07,3.6318397e-07,3.6427036e-07,3.4965296e-07,3.389523e-07,3.3050082e-07,3.1705486e-07,3.1320906e-07,3.0022784e-07,2.8545855e-07,2.8225804e-07
7,4.0541477e-07,4.0454222e-07,3.87024e-07,3.884213e-07,3.7716882e-07,3.6586357e-07,3.626683e-07,3.4705408e-07,3.451612e-07,3.3310448e-07,3.274081e-07,3.1003628e-07,3.0488627e-07,2.9592593e-07,2.8951808e-07,2.75797e-07,2.7208625e-07,2.5530062e-07,2.533743e-07,2.473489e-07,2.3349548e-07
8,1.0213515e-07,1.06149855e-07,1.0850019e-07,1.0946894e-07,1.1019256e-07,1.0929699e-07,1.11029806e-07,1.12743464e-07,1.147971e-07,1.1365967e-07,1.1695681e-07,1.1739269e-07,1.1857094e-07,1.18662456e-07,1.2318515e-07,1.219446e-07,1.2230726e-07,1.2469536e-07,1.2563032e-07,1.280921e-07,1.2936948e-07
9,3.8929699e-07,3.7548784e-07,3.725981e-07,3.7111715e-07,3.6829385e-07,3.8129156e-07,3.7441532e-07,3.6157508e-07,3.6676443e-07,3.630921e-07,3.5931134e-07,3.5381345e-07,3.4528375e-07,3.3537935e-07,3.3422884e-07,3.3341394e-07,3.2909884e-07,3.2279013e-07,3.2304342e-07,3.0920683e-07,3.0295178e-07
10,-4.435169e-07,-4.5164586e-07,-4.282199e-07,-4.402624e-07,-4.2253146e-07,-4.2547117e-07,-4.1777957e-07,-4.0445093e-07,-3.8731014e-07,-3.768355e-07,-3.8589496e-07,-3.5894936e-07,-3.558689e-07,-3.417399e-07,-3.5099765e-07,-3.2727894e-07,-3.283667e-07,-3.074706e-07,-3.014443e-07,-3.0254114e-07,-2.829488e-07
11,1.9477971e-08,3.0156222e-08,3.6568395e-08,4.004798e-08,4.3573863e-08,4.5711346e-08,4.6037314e-08,4.9160093e-08,5.141797e-08,5.3472974e-08,5.5037304e-08,5.842989e-08,5.979348e-08,6.133797e-08,6.326411e-08,6.737105e-08,6.994975e-08,7.22099e-08,7.41158e-08,7.3540036e-08,7.7432105e-08
12,-1.6452142e-07,-1.5671299e-07,-1.458807e-07,-1.350773e-07,-1.2539186e-07,-1.2061355e-07,-1.1384884e-07,-1.0393239e-07,-9.642031e-08,-8.993027e-08,-8.263021e-08,-7.2770035e-08,-6.5832296e-08,-5.8182536e-08,-5.163372e-08,-4.1821295e-08,-3.5641733e-08,-2.8216277e-08,-1.9168397e-08,-1.2669261e-08,-7.437734e-09
13,4.6705907e-07,4.528166e-07,4.473825e-07,4.3780756e-07,4.4206672e-07,4.2292004e-07,4.1528915e-07,4.1140675e-07,4.0243367e-07,4.0274608e-07,3.8145663e-07,3.782343e-07,3.641003e-07,3.5157882e-07,3.4213417e-07,3.38654e-07,3.2743992e-07,3.0905312e-07,2.994816e-07,2.9386683e-07,2.8520117e-07
14,-2.0332041e-07,-1.9025302e-07,-1.7940505e-07,-1.6763875e-07,-1.5584158e-07,-1.4417367e-07,-1.3513579e-07,-1.2408589e-07,-1.1307475e-07,-1.05720574e-07,-9.6484996e-08,-8.790346e-08,-8.1281314e-08,-7.382528e-08,-6.629125e-08,-5.8439127e-08,-5.4702014e-08,-4.8184802e-08,-4.3202817e-08,-3.7533255e-08,-3.329251e-08
15,-7.591669e-08,-7.0936665e-08,-6.652871e-08,-6.236044e-08,-5.7387098e-08,-5.2129906e-08,-4.6926942e-08,-4.230523e-08,-3.791706e-08,-3.195396e-08,-2.7761189e-08,-2.1358346e-08,-1.7405455e-08,-1.305159e-08,-8.644008e-09,-3.1270702e-09,2.4699602e-09,5.6016916e-09,9.561745e-09,1.4146849e-08,1.7933473e-08
16,3.355427e-07,3.467159e-07,3.5361188e-07,3.4587822e-07,3.4072957e-07,3.4041057e-07,3.5323433e-07,3.4281402e-07,3.4490995e-07,3.3360084e-07,3.351081e-07,3.3514084e-07,3.359255e-07,3.3048173e-07,3.1873697e-07,3.191317e-07,3.1637774e-07,3.1492436e-07,3.0091815e-07,3.0041474e-07,2.8862314e-07
17,-3.282431e-07,-3.120372e-07,-2.954646e-07,-2.8262968e-07,-2.651119e-07,-2.5349925e-07,-2.413126e-07,-2.2460563e-07,-2.1305732e-07,-1.9936897e-07,-1.8958235e-07,-1.792771e-07,-1.6739295e-07,-1.6206195e-07,-1.5145497e-07,-1.3909471e-07,-1.302542e-07,-1.2529972e-07,-1.1506927e-07,-1.07385404e-07,-1.0381018e-07
18,-3.7295777e-07,-3.6120846e-07,-3.5094587e-07,-3.33839e-07,-3.186492e-07,-3.07527e-07,-2.999434e-07,-2.8839804e-07,-2.7189526e-07,-2.6056546e-07,-2.5573695e-07,-2.403117e-07,-2.3115172e-07,-2.2138511e-07,-2.1373808e-07,-2.0523521e-07,-1.9972958e-07,-1.8673745e-07,-1.798262e-07,-1.730441e-07,-1.702033e-07
19,-9.7926275e-08,-1.0216529e-07,-9.913521e-08,-9.958589e-08,-1.0552233e-07,-1.0443665e-07,-1.0301687e-07,-1.0038275e-07,-1.00438115e-07,-9.668406e-08,-9.497785e-08,-9.3393396e-08,-9.1250286e-08,-9.572091e-08,-8.8315005e-08,-8.8098886e-08,-8.591712e-08,-8.0277346e-08,-7.680649e-08,-7.683923e-08,-7.552774e-08
