sample_idx,influence_epoch_0,influence_epoch_1,influence_epoch_2,influence_epoch_3,influence_epoch_4,influence_epoch_5,influence_epoch_6,influence_epoch_7,influence_epoch_8,influence_epoch_9,influence_epoch_10,influence_epoch_11,influence_epoch_12,influence_epoch_13,influence_epoch_14,influence_epoch_15,influence_epoch_16,influence_epoch_17,influence_epoch_18,influence_epoch_19,influence_epoch_20
0,-0.020120721088460414,-0.01897998204367468,-0.01697868083283538,-0.015286177935195155,-0.014535087000695057,-0.013367905696213711,-0.012321378260821803,-0.011749044322641566,-0.010801568419992691,-0.010199119431490544,-0.009247819354641251,-0.008706399959919509,-0.008465050323138712,-0.008028337691939669,-0.007708145123615395,-0.007495701314837788,-0.007276764899870614,-0.006931047686521197,-0.006601286764635006,-0.006495121153420769,-0.006295205711467133
1,-0.021827252191542357,-0.02202954714812222,-0.021860718090465525,-0.021965299979456177,-0.02113521694627707,-0.02077643109169003,-0.019578841090378774,-0.019830923349672958,-0.019913133596219268,-0.02005608760123323,-0.019665988326323713,-0.019642082088012103,-0.01890444935861524,-0.019518038758633338,-0.018068142396259645,-0.01795149609688451,-0.017502973591490445,-0.008502711869368795,-0.008518019403709332,-0.008926427430196782,-0.008974202835815959
2,-0.0016883767366380198,-0.0031871348573986324,-0.006138659363386978,-0.007511919697208214,-0.005864186748112843,-0.006744706364770536,-0.006940099531675514,-0.0065784168837126344,-0.016352209793694783,-0.018067075201543048,-0.01952889181484352,-0.020825026869715657,-0.02156328501587268,-0.02279666562753846,-0.022962982795434073,-0.023226275861816248,-0.020458278533624252,-0.022557511878403602,-0.02351436816752539,-0.02441871337214252,-0.02684813703672262
3,-0.014940153632778674,-0.013782228757918347,-0.012144029591581784,-0.010911383331404068,-0.010490990345715545,-0.009642302728025243,-0.009081316835363396,-0.00817446036671754,-0.0075681281596189365,-0.006810354723711498,-0.005551310925511643,-0.005278210708638653,-0.005211075345869176,-0.004503149408265017,-0.004407354485010728,-0.004467944854695816,-0.0041768480332393665,-0.003484366308839526,-0.003149743417452555,-0.0029028638018644415,-0.0023551710037281737
4,-0.07095894931990188,-0.06826720765820937,-0.06456162702670554,-0.06005533344432479,-0.054320318980899174,-0.051812707220960874,-0.04961949563585222,-0.05056447452807333,-0.04883984570187749,-0.04696919198613614,-0.04228964214416919,-0.04125193132495042,-0.04043819068101584,-0.04103659493193845,-0.03599349361320492,-0.035291334737848956,-0.035153542696207296,-0.035705744063307066,-0.03549708294667653,-0.03443048390181502,-0.035829745887895115
5,-0.061830761056626216,-0.05925898808345664,-0.053836598148336634,-0.04691162034578156,-0.05145591455948306,-0.048740811049356125,-0.04736320371739566,-0.046580742331570946,-0.04459570250764955,-0.0427815894363448,-0.0384041742872796,-0.03739653860247927,-0.0366916266248154,-0.0371688163941144,-0.03570615411081235,-0.03471976183936931,-0.03478945585084148,-0.03492199528409401,-0.03482994191290345,-0.03398659590675379,-0.03511682606040267
6,-0.041902678916812874,-0.03983804602466989,-0.037229692894470645,-0.03449601498869015,-0.03265162354364293,-0.031074508013261948,-0.017048793233698234,-0.01628511729359161,-0.014988268827437423,-0.0141604775635642,-0.012989442868274637,-0.012401311978464946,-0.011963215023570228,-0.011354807422321755,-0.010979773327562725,-0.010658599801899982,-0.010205157588643488,-0.009817195154028013,-0.009525795212539379,-0.009227175229170825,-0.008841868091622018
7,-0.01877668939414434,-0.017721442462061532,-0.015774082618008833,-0.014067695716221351,-0.013322080238140188,-0.012149120928370394,-0.011287645502306987,-0.010852982217329554,-0.01001600125891855,-0.00942077710715239,-0.008312513607961591,-0.007652037566003855,-0.007397492649033666,-0.006890429933264386,-0.006537130371725652,-0.006212293803400826,-0.006059550647478318,-0.005605159309197916,-0.005240361475443933,-0.005098468696814962,-0.004770526669744868
8,-0.008102251596938004,-0.010198736133133934,-0.013173732023460616,-0.015862462764744123,-0.009711213075206615,-0.011503483355227218,-0.01217403148075391,-0.012645270948269172,-0.014230661696274183,-0.01568524946560501,-0.016669333421305055,-0.01795648537517991,-0.019222081933548907,-0.020780068665771978,-0.021220051547061303,-0.02165042911292403,-0.022454576323070796,-0.02486882757875719,-0.026078826831508195,-0.027275266835204093,-0.030476510273729218
9,-0.03483453117951285,-0.03286886645219056,-0.03090780055936193,-0.03192086042690789,-0.030195467956218636,-0.028849609861936187,-0.027866183747391915,-0.027037002331780968,-0.02599671488496824,-0.025664134567705332,-0.023652767775274697,-0.023051912035953137,-0.02186935513964272,-0.022027478888958285,-0.020621826484784833,-0.019779178976023104,-0.019038475922570797,-0.018061213794226205,-0.017719175437378,-0.016160501029389707,-0.01617065551408814
10,-0.022818365890998393,-0.01855452766903909,-0.01897754203673685,-0.018622355768457055,-0.018064476869767532,-0.017655042618571315,-0.01679924735071836,-0.017382569807523396,-0.016354263469111174,-0.016195839882129803,-0.01581316737429006,-0.01600826183494064,-0.016645971933030523,-0.0169415366181056,-0.017318609250651207,-0.01776688083918998,-0.017959995813725982,-0.01940058464606409,-0.01958828856004402,-0.020447787450393662,-0.021395188148744637
