sample_idx,influence_epoch_0,influence_epoch_1,influence_epoch_2,influence_epoch_3,influence_epoch_4,influence_epoch_5,influence_epoch_6,influence_epoch_7,influence_epoch_8,influence_epoch_9,influence_epoch_10,influence_epoch_11,influence_epoch_12,influence_epoch_13,influence_epoch_14,influence_epoch_15,influence_epoch_16,influence_epoch_17,influence_epoch_18,influence_epoch_19,influence_epoch_20
0,1.9637326e-08,2.0978469e-08,2.2288894e-08,2.41497e-08,2.6068847e-08,2.8234922e-08,3.134204e-08,3.5039463e-08,3.605193e-08,4.1139742e-08,4.4303647e-08,5.1373945e-08,5.6255203e-08,6.64503e-08,7.138607e-08,8.0520294e-08,8.9251614e-08,9.786328e-08,1.0506449e-07,1.0800443e-07,1.1969587e-07
1,-2.1342252e-09,1.1744703e-08,1.7884137e-08,2.4951554e-08,3.2873345e-08,4.5810438e-08,5.2834622e-08,6.2500646e-08,6.77571e-08,7.944368e-08,8.178634e-08,9.000382e-08,9.934831e-08,1.04931416e-07,1.04413346e-07,1.16253545e-07,1.2001851e-07,1.2818782e-07,1.2966109e-07,1.387616e-07,1.4391321e-07
2,1.2665754e-07,1.300597e-07,1.3026707e-07,1.3279111e-07,1.3425256e-07,1.366111e-07,1.3782989e-07,1.4144922e-07,1.43276e-07,1.4743557e-07,1.4781165e-07,1.514785e-07,1.5441844e-07,1.5237345e-07,1.5593537e-07,1.579383e-07,1.5897945e-07,1.6249305e-07,1.6202193e-07,1.6566082e-07,1.6641684e-07
3,9.411745e-09,1.0841782e-08,1.2182792e-08,1.4164797e-08,1.71989e-08,1.8371203e-08,2.0202926e-08,2.2388093e-08,2.6536213e-08,3.0335798e-08,3.3204486e-08,3.943046e-08,4.4147754e-08,5.0092666e-08,5.2952032e-08,6.293146e-08,7.116313e-08,7.604825e-08,7.940207e-08,8.5587885e-08,9.4177096e-08
4,-9.975116e-10,-1.0485992e-09,-1.1750352e-09,-1.7140245e-09,-2.0716335e-09,-1.6109869e-09,-1.2747137e-09,-6.466099e-10,-8.975665e-11,1.7994406e-10,2.1593571e-10,2.7604052e-10,9.16721e-09,1.7254255e-08,2.8132828e-08,3.9968597e-08,5.3031115e-08,5.5643554e-08,6.9279096e-08,8.279997e-08,8.965159e-08
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.937408e-09,1.0813438e-08,1.9872331e-08,3.351169e-08,3.657245e-08,4.843057e-08,6.309409e-08,7.0082706e-08,8.361161e-08,9.538627e-08,1.0301386e-07,1.1212603e-07
6,1.3769074e-08,1.332099e-08,1.3414226e-08,1.2776049e-08,1.1477098e-08,1.1200363e-08,1.0243198e-08,8.870835e-09,8.391659e-09,1.02854045e-08,2.1205992e-08,2.775883e-08,3.496436e-08,4.4291994e-08,5.035443e-08,6.514239e-08,7.146764e-08,7.94505e-08,8.9763375e-08,9.6129554e-08,1.04575236e-07
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.485636e-09,1.3504208e-08,2.8495357e-08,3.148056e-08,4.684597e-08,6.181564e-08,6.613939e-08,7.6878024e-08,8.5883016e-08
8,3.205034e-07,3.2184047e-07,3.2300971e-07,3.2129628e-07,3.24467e-07,3.2589992e-07,3.2934372e-07,3.2636603e-07,3.301061e-07,3.2948424e-07,3.3142715e-07,3.3009678e-07,3.3592096e-07,3.3176593e-07,3.3103242e-07,3.3253946e-07,3.3389733e-07,3.3290826e-07,3.3730657e-07,3.3722608e-07,3.3664082e-07
9,2.4297506e-08,2.4138416e-08,2.4598435e-08,3.8082177e-08,4.258048e-08,4.5774613e-08,5.757795e-08,6.352124e-08,6.988097e-08,7.67493e-08,8.2524e-08,8.6941554e-08,9.526991e-08,1.0396303e-07,1.1083438e-07,1.16470574e-07,1.2427233e-07,1.2686871e-07,1.3105182e-07,1.3971919e-07,1.41942e-07
10,7.906217e-08,8.086777e-08,8.129375e-08,8.359166e-08,8.5467434e-08,8.672879e-08,8.8311936e-08,9.067918e-08,9.481482e-08,9.5706184e-08,1.0057613e-07,1.0485405e-07,1.1358861e-07,1.17521495e-07,1.2437135e-07,1.2750661e-07,1.3489569e-07,1.4248167e-07,1.4403406e-07,1.4973784e-07,1.5330261e-07
11,1.198488e-07,1.2287697e-07,1.3091741e-07,1.3616315e-07,1.3694813e-07,1.4360256e-07,1.495655e-07,1.5329363e-07,1.5767785e-07,1.6809918e-07,1.729062e-07,1.7649484e-07,1.8325204e-07,1.9380354e-07,1.9933509e-07,2.0464836e-07,2.0954121e-07,2.0827542e-07,2.1714163e-07,2.201914e-07,2.2492895e-07
12,1.8726293e-08,1.7545663e-08,1.712414e-08,1.5557173e-08,1.4791226e-08,1.3612549e-08,1.3274374e-08,1.2051771e-08,1.1317226e-08,1.1193308e-08,1.918032e-08,2.1365494e-08,3.3279832e-08,3.8081907e-08,4.5160363e-08,5.2283013e-08,6.32013e-08,7.218202e-08,8.009391e-08,8.6080775e-08,9.341261e-08
13,8.826983e-09,9.616515e-09,1.3497196e-08,1.4123721e-08,1.6944199e-08,2.0248386e-08,2.4046535e-08,3.1415638e-08,3.2634176e-08,4.1851507e-08,4.576637e-08,5.3937157e-08,6.1782515e-08,7.496476e-08,8.403447e-08,8.901725e-08,9.753904e-08,1.0894536e-07,1.16409865e-07,1.227445e-07,1.3006434e-07
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.02134e-09,1.6337768e-08,2.4309069e-08,3.7963623e-08,4.5363734e-08,5.5568336e-08,6.4943265e-08
15,1.6652126e-07,1.7163421e-07,1.8071279e-07,1.8843616e-07,1.9566625e-07,2.0220864e-07,2.0220853e-07,2.1501012e-07,2.1467167e-07,2.2319477e-07,2.2905283e-07,2.3539496e-07,2.3307052e-07,2.4235078e-07,2.466577e-07,2.4482733e-07,2.4586325e-07,2.4816245e-07,2.5440295e-07,2.5985992e-07,2.5648478e-07
16,8.2924515e-08,8.527829e-08,8.87008e-08,9.372303e-08,1.0279362e-07,1.04984196e-07,1.1189951e-07,1.13551266e-07,1.2037242e-07,1.2629783e-07,1.3311978e-07,1.3569729e-07,1.3892827e-07,1.4420459e-07,1.488047e-07,1.5474598e-07,1.5393141e-07,1.6215722e-07,1.6274521e-07,1.6625154e-07,1.665594e-07
17,0.0,0.0,0.0,0.0,5.0799684e-09,9.532606e-09,2.351728e-08,2.9292941e-08,3.813126e-08,4.804584e-08,5.7276665e-08,6.72412e-08,7.6175326e-08,8.065069e-08,8.75404e-08,9.223942e-08,9.9462e-08,1.0696226e-07,1.1813984e-07,1.2082796e-07,1.2928831e-07
18,2.3289725e-07,2.3170934e-07,2.3125389e-07,2.3244678e-07,2.3415566e-07,2.3652228e-07,2.3616417e-07,2.3642713e-07,2.41571e-07,2.4061796e-07,2.426441e-07,2.4266046e-07,2.4449105e-07,2.457498e-07,2.4706833e-07,2.447473e-07,2.4307792e-07,2.4473593e-07,2.477309e-07,2.462425e-07,2.4588235e-07
19,-8.8120444e-08,-7.7636386e-08,-5.990756e-08,-4.987959e-08,-4.216008e-08,-3.5274866e-08,-2.0146388e-08,-1.885985e-08,-9.784571e-09,-1.3210979e-09,7.4614945e-09,2.2370216e-08,2.5292707e-08,3.536988e-08,4.346134e-08,4.9776332e-08,5.5031677e-08,6.647443e-08,7.584683e-08,8.411098e-08,8.742313e-08
20,2.407036e-07,2.4334182e-07,2.4525497e-07,2.4522524e-07,2.4645806e-07,2.4829467e-07,2.5094812e-07,2.538452e-07,2.568172e-07,2.5878853e-07,2.5886288e-07,2.605243e-07,2.6279827e-07,2.667448e-07,2.6393832e-07,2.6190673e-07,2.64788e-07,2.7232227e-07,2.7427723e-07,2.720244e-07,2.7574606e-07
21,-1.475442e-10,5.397922e-10,1.8791724e-09,2.3845583e-09,2.4966322e-09,3.7074006e-09,5.819315e-09,6.5410646e-09,6.5268715e-09,7.3963307e-09,7.635098e-09,1.2973828e-08,2.4702768e-08,3.2593547e-08,3.965907e-08,4.9736585e-08,5.6377786e-08,6.796259e-08,7.834913e-08,8.122237e-08,9.3002996e-08
