sample_idx,influence_epoch_0,influence_epoch_1,influence_epoch_2,influence_epoch_3,influence_epoch_4,influence_epoch_5,influence_epoch_6,influence_epoch_7,influence_epoch_8,influence_epoch_9,influence_epoch_10,influence_epoch_11,influence_epoch_12,influence_epoch_13,influence_epoch_14,influence_epoch_15,influence_epoch_16,influence_epoch_17,influence_epoch_18,influence_epoch_19,influence_epoch_20
0,1.841082e-08,3.6308037e-08,5.012105e-08,6.240875e-08,6.779351e-08,8.51646e-08,8.5987665e-08,1.00677426e-07,1.1430939e-07,1.1357804e-07,1.2774194e-07,1.3694023e-07,1.4464058e-07,1.4482703e-07,1.4824661e-07,1.5290686e-07,1.5736384e-07,1.610041e-07,1.6315812e-07,1.6664558e-07,1.715232e-07
1,1.8385188e-07,1.91699e-07,1.9458582e-07,2.0279998e-07,2.1160326e-07,2.1667302e-07,2.1441406e-07,2.2184884e-07,2.1972778e-07,2.2791073e-07,2.2288714e-07,2.2850736e-07,2.2837094e-07,2.2632594e-07,2.2080667e-07,2.2022778e-07,2.1732922e-07,2.1306414e-07,2.1007008e-07,2.1038386e-07,2.0489233e-07
2,1.3455707e-07,1.3409314e-07,1.325387e-07,1.2952353e-07,1.2857328e-07,1.2707835e-07,1.2357589e-07,1.244959e-07,1.2180988e-07,1.2197313e-07,1.2031728e-07,1.1950442e-07,1.1983036e-07,1.1984082e-07,1.2024634e-07,1.1796874e-07,1.17856416e-07,1.18458956e-07,1.1643624e-07,1.15981265e-07,1.159201e-07
3,8.9497306e-08,9.215138e-08,9.7248744e-08,9.694662e-08,1.0142159e-07,1.0069709e-07,1.0240183e-07,1.0402323e-07,1.0863391e-07,1.0674853e-07,1.1293764e-07,1.13913984e-07,1.11888994e-07,1.15359626e-07,1.1361453e-07,1.1520933e-07,1.1509121e-07,1.1763029e-07,1.1754355e-07,1.16701585e-07,1.1229554e-07
4,2.8751208e-07,2.8704216e-07,2.922912e-07,2.9536238e-07,2.9699345e-07,3.0301635e-07,3.038101e-07,3.1064656e-07,3.1265108e-07,3.1466539e-07,3.201401e-07,3.229336e-07,3.261914e-07,3.307391e-07,3.3278502e-07,3.320315e-07,3.345499e-07,3.3922834e-07,3.3934248e-07,3.418486e-07,3.4060895e-07
5,-9.461611e-08,-9.1530936e-08,-9.0365035e-08,-8.6180194e-08,-8.3440824e-08,-7.958218e-08,-7.510653e-08,-6.7282826e-08,-6.3983805e-08,-5.6136855e-08,-5.1620418e-08,-4.3001478e-08,-3.539475e-08,-2.7432861e-08,-1.8990079e-08,-7.105996e-09,-8.594725e-11,9.727046e-09,1.6951162e-08,3.0074602e-08,3.5938456e-08
6,1.2147405e-07,1.2798208e-07,1.3691209e-07,1.4546688e-07,1.5355636e-07,1.6851942e-07,1.7264307e-07,1.7371258e-07,1.7918558e-07,1.879232e-07,1.8859862e-07,2.0011998e-07,1.9606864e-07,1.9828667e-07,2.0442371e-07,2.0734979e-07,2.0289463e-07,2.0399011e-07,2.0671541e-07,2.0047673e-07,2.0157995e-07
7,1.3360086e-07,1.4261202e-07,1.46806e-07,1.5960376e-07,1.6440754e-07,1.6657339e-07,1.7754076e-07,1.7993773e-07,1.8570995e-07,1.9346749e-07,1.910579e-07,1.9365336e-07,1.989738e-07,2.0579455e-07,2.016277e-07,2.0751395e-07,2.0670609e-07,2.0344169e-07,2.0827974e-07,2.0207676e-07,2.0396237e-07
8,6.1358207e-09,9.287859e-09,1.492478e-08,2.1028413e-08,2.5990985e-08,2.7261912e-08,3.6903252e-08,4.270707e-08,5.618199e-08,6.100055e-08,6.67643e-08,7.359796e-08,7.7437676e-08,8.33885e-08,9.44645e-08,1.0081294e-07,1.048017e-07,1.04011974e-07,1.14584054e-07,1.191878e-07,1.2711075e-07
9,2.2281316e-08,3.3710094e-08,4.4981814e-08,5.401168e-08,6.269502e-08,6.782675e-08,8.114253e-08,7.924439e-08,9.6038264e-08,9.257667e-08,1.03491516e-07,1.0160147e-07,1.1295981e-07,1.1026816e-07,1.126333e-07,1.1347288e-07,1.1696636e-07,1.2426051e-07,1.2140742e-07,1.193356e-07,1.228799e-07
