sample_idx,influence_epoch_0,influence_epoch_1,influence_epoch_2,influence_epoch_3,influence_epoch_4,influence_epoch_5,influence_epoch_6,influence_epoch_7,influence_epoch_8,influence_epoch_9,influence_epoch_10,influence_epoch_11,influence_epoch_12,influence_epoch_13,influence_epoch_14,influence_epoch_15,influence_epoch_16,influence_epoch_17,influence_epoch_18,influence_epoch_19,influence_epoch_20
0,36.62532,36.62532,36.62532,36.62532,36.62532,36.62532,36.62532,36.62532,36.62532,36.62532,36.62532,36.62532,36.62532,36.62532,36.62532,36.62532,36.62532,36.62532,36.62532,36.62532,36.62532
1,-28.712616,-28.712616,-28.712616,-28.712616,-28.712616,-28.712616,-28.712616,-28.712616,-28.712616,-28.712616,-28.712616,-28.712616,-28.712616,-28.712616,-28.712616,-28.712616,-28.712616,-28.712616,-28.712616,-28.712616,-28.712616
2,-92.73596,-92.73596,-92.73596,-92.73596,-92.73596,-92.73596,-92.73596,-92.73596,-92.73596,-92.73596,-92.73596,-92.73596,-92.73596,-92.73596,-92.73596,-92.73596,-92.73596,-92.73596,-92.73596,-92.73596,-92.73596
3,-10.140625,-10.140625,-10.140625,-10.140625,-10.140625,-10.140625,-10.140625,-10.140625,-10.140625,-10.140625,-10.140625,-10.140625,-10.140625,-10.140625,-10.140625,-10.140625,-10.140625,-10.140625,-10.140625,-10.140625,-10.140625
4,79.96341,79.96341,79.96341,79.96341,79.96341,79.96341,79.96341,79.96341,79.96341,79.96341,79.96341,79.96341,79.96341,79.96341,79.96341,79.96341,79.96341,79.96341,79.96341,79.96341,79.96341
5,-29.147781,-29.147781,-29.147781,-29.147781,-29.147781,-29.147781,-29.147781,-29.147781,-29.147781,-29.147781,-29.147781,-29.147781,-29.147781,-29.147781,-29.147781,-29.147781,-29.147781,-29.147781,-29.147781,-29.147781,-29.147781
6,17.01326,17.01326,17.01326,17.01326,17.01326,17.01326,17.01326,17.01326,17.01326,17.01326,17.01326,17.01326,17.01326,17.01326,17.01326,17.01326,17.01326,17.01326,17.01326,17.01326,17.01326
7,-25.111282,-25.111282,-25.111282,-25.111282,-25.111282,-25.111282,-25.111282,-25.111282,-25.111282,-25.111282,-25.111282,-25.111282,-25.111282,-25.111282,-25.111282,-25.111282,-25.111282,-25.111282,-25.111282,-25.111282,-25.111282
8,16.712448,16.712448,16.712448,16.712448,16.712448,16.712448,16.712448,16.712448,16.712448,16.712448,16.712448,16.712448,16.712448,16.712448,16.712448,16.712448,16.712448,16.712448,16.712448,16.712448,16.712448
9,-61.637436,-61.637436,-61.637436,-61.637436,-61.637436,-61.637436,-61.637436,-61.637436,-61.637436,-61.637436,-61.637436,-61.637436,-61.637436,-61.637436,-61.637436,-61.637436,-61.637436,-61.637436,-61.637436,-61.637436,-61.637436
10,-22.07631,-22.07631,-22.07631,-22.07631,-22.07631,-22.07631,-22.07631,-22.07631,-22.07631,-22.07631,-22.07631,-22.07631,-22.07631,-22.07631,-22.07631,-22.07631,-22.07631,-22.07631,-22.07631,-22.07631,-22.07631
11,10.362183,10.362183,10.362183,10.362183,10.362183,10.362183,10.362183,10.362183,10.362183,10.362183,10.362183,10.362183,10.362183,10.362183,10.362183,10.362183,10.362183,10.362183,10.362183,10.362183,10.362183
12,52.46263,52.46263,52.46263,52.46263,52.46263,52.46263,52.46263,52.46263,52.46263,52.46263,52.46263,52.46263,52.46263,52.46263,52.46263,52.46263,52.46263,52.46263,52.46263,52.46263,52.46263
13,13.569489,13.569489,13.569489,13.569489,13.569489,13.569489,13.569489,13.569489,13.569489,13.569489,13.569489,13.569489,13.569489,13.569489,13.569489,13.569489,13.569489,13.569489,13.569489,13.569489,13.569489
14,55.066803,55.066803,55.066803,55.066803,55.066803,55.066803,55.066803,55.066803,55.066803,55.066803,55.066803,55.066803,55.066803,55.066803,55.066803,55.066803,55.066803,55.066803,55.066803,55.066803,55.066803
15,8.65036,8.65036,8.65036,8.65036,8.65036,8.65036,8.65036,8.65036,8.65036,8.65036,8.65036,8.65036,8.65036,8.65036,8.65036,8.65036,8.65036,8.65036,8.65036,8.65036,8.65036
16,-3.3926086,-3.3926086,-3.3926086,-3.3926086,-3.3926086,-3.3926086,-3.3926086,-3.3926086,-3.3926086,-3.3926086,-3.3926086,-3.3926086,-3.3926086,-3.3926086,-3.3926086,-3.3926086,-3.3926086,-3.3926086,-3.3926086,-3.3926086,-3.3926086
17,-27.0943,-27.0943,-27.0943,-27.0943,-27.0943,-27.0943,-27.0943,-27.0943,-27.0943,-27.0943,-27.0943,-27.0943,-27.0943,-27.0943,-27.0943,-27.0943,-27.0943,-27.0943,-27.0943,-27.0943,-27.0943
18,3.8745575,3.8745575,3.8745575,3.8745575,3.8745575,3.8745575,3.8745575,3.8745575,3.8745575,3.8745575,3.8745575,3.8745575,3.8745575,3.8745575,3.8745575,3.8745575,3.8745575,3.8745575,3.8745575,3.8745575,3.8745575
19,-34.73561,-34.73561,-34.73561,-34.73561,-34.73561,-34.73561,-34.73561,-34.73561,-34.73561,-34.73561,-34.73561,-34.73561,-34.73561,-34.73561,-34.73561,-34.73561,-34.73561,-34.73561,-34.73561,-34.73561,-34.73561
20,-51.483994,-51.483994,-51.483994,-51.483994,-51.483994,-51.483994,-51.483994,-51.483994,-51.483994,-51.483994,-51.483994,-51.483994,-51.483994,-51.483994,-51.483994,-51.483994,-51.483994,-51.483994,-51.483994,-51.483994,-51.483994
21,-2.7455902,-2.7455902,-2.7455902,-2.7455902,-2.7455902,-2.7455902,-2.7455902,-2.7455902,-2.7455902,-2.7455902,-2.7455902,-2.7455902,-2.7455902,-2.7455902,-2.7455902,-2.7455902,-2.7455902,-2.7455902,-2.7455902,-2.7455902,-2.7455902
22,-3.7898102,-3.7898102,-3.7898102,-3.7898102,-3.7898102,-3.7898102,-3.7898102,-3.7898102,-3.7898102,-3.7898102,-3.7898102,-3.7898102,-3.7898102,-3.7898102,-3.7898102,-3.7898102,-3.7898102,-3.7898102,-3.7898102,-3.7898102,-3.7898102
23,-17.274017,-17.274017,-17.274017,-17.274017,-17.274017,-17.274017,-17.274017,-17.274017,-17.274017,-17.274017,-17.274017,-17.274017,-17.274017,-17.274017,-17.274017,-17.274017,-17.274017,-17.274017,-17.274017,-17.274017,-17.274017
24,-59.233345,-59.233345,-59.233345,-59.233345,-59.233345,-59.233345,-59.233345,-59.233345,-59.233345,-59.233345,-59.233345,-59.233345,-59.233345,-59.233345,-59.233345,-59.233345,-59.233345,-59.233345,-59.233345,-59.233345,-59.233345
25,-31.483719,-31.483719,-31.483719,-31.483719,-31.483719,-31.483719,-31.483719,-31.483719,-31.483719,-31.483719,-31.483719,-31.483719,-31.483719,-31.483719,-31.483719,-31.483719,-31.483719,-31.483719,-31.483719,-31.483719,-31.483719
26,23.963745,23.963745,23.963745,23.963745,23.963745,23.963745,23.963745,23.963745,23.963745,23.963745,23.963745,23.963745,23.963745,23.963745,23.963745,23.963745,23.963745,23.963745,23.963745,23.963745,23.963745
27,-33.081207,-33.081207,-33.081207,-33.081207,-33.081207,-33.081207,-33.081207,-33.081207,-33.081207,-33.081207,-33.081207,-33.081207,-33.081207,-33.081207,-33.081207,-33.081207,-33.081207,-33.081207,-33.081207,-33.081207,-33.081207
28,-1.1362762,-1.1362762,-1.1362762,-1.1362762,-1.1362762,-1.1362762,-1.1362762,-1.1362762,-1.1362762,-1.1362762,-1.1362762,-1.1362762,-1.1362762,-1.1362762,-1.1362762,-1.1362762,-1.1362762,-1.1362762,-1.1362762,-1.1362762,-1.1362762
29,13.12352,13.12352,13.12352,13.12352,13.12352,13.12352,13.12352,13.12352,13.12352,13.12352,13.12352,13.12352,13.12352,13.12352,13.12352,13.12352,13.12352,13.12352,13.12352,13.12352,13.12352
30,-4.8695984,-4.8695984,-4.8695984,-4.8695984,-4.8695984,-4.8695984,-4.8695984,-4.8695984,-4.8695984,-4.8695984,-4.8695984,-4.8695984,-4.8695984,-4.8695984,-4.8695984,-4.8695984,-4.8695984,-4.8695984,-4.8695984,-4.8695984,-4.8695984
31,-12.824478,-12.824478,-12.824478,-12.824478,-12.824478,-12.824478,-12.824478,-12.824478,-12.824478,-12.824478,-12.824478,-12.824478,-12.824478,-12.824478,-12.824478,-12.824478,-12.824478,-12.824478,-12.824478,-12.824478,-12.824478
32,-19.749954,-19.749954,-19.749954,-19.749954,-19.749954,-19.749954,-19.749954,-19.749954,-19.749954,-19.749954,-19.749954,-19.749954,-19.749954,-19.749954,-19.749954,-19.749954,-19.749954,-19.749954,-19.749954,-19.749954,-19.749954
33,-45.17221,-45.17221,-45.17221,-45.17221,-45.17221,-45.17221,-45.17221,-45.17221,-45.17221,-45.17221,-45.17221,-45.17221,-45.17221,-45.17221,-45.17221,-45.17221,-45.17221,-45.17221,-45.17221,-45.17221,-45.17221
34,12.266525,12.266525,12.266525,12.266525,12.266525,12.266525,12.266525,12.266525,12.266525,12.266525,12.266525,12.266525,12.266525,12.266525,12.266525,12.266525,12.266525,12.266525,12.266525,12.266525,12.266525
35,-8.562347,-8.562347,-8.562347,-8.562347,-8.562347,-8.562347,-8.562347,-8.562347,-8.562347,-8.562347,-8.562347,-8.562347,-8.562347,-8.562347,-8.562347,-8.562347,-8.562347,-8.562347,-8.562347,-8.562347,-8.562347
36,24.896683,24.896683,24.896683,24.896683,24.896683,24.896683,24.896683,24.896683,24.896683,24.896683,24.896683,24.896683,24.896683,24.896683,24.896683,24.896683,24.896683,24.896683,24.896683,24.896683,24.896683
37,27.948364,27.948364,27.948364,27.948364,27.948364,27.948364,27.948364,27.948364,27.948364,27.948364,27.948364,27.948364,27.948364,27.948364,27.948364,27.948364,27.948364,27.948364,27.948364,27.948364,27.948364
38,-11.8965,-11.8965,-11.8965,-11.8965,-11.8965,-11.8965,-11.8965,-11.8965,-11.8965,-11.8965,-11.8965,-11.8965,-11.8965,-11.8965,-11.8965,-11.8965,-11.8965,-11.8965,-11.8965,-11.8965,-11.8965
39,-16.766571,-16.766571,-16.766571,-16.766571,-16.766571,-16.766571,-16.766571,-16.766571,-16.766571,-16.766571,-16.766571,-16.766571,-16.766571,-16.766571,-16.766571,-16.766571,-16.766571,-16.766571,-16.766571,-16.766571,-16.766571
40,-8.30603,-8.30603,-8.30603,-8.30603,-8.30603,-8.30603,-8.30603,-8.30603,-8.30603,-8.30603,-8.30603,-8.30603,-8.30603,-8.30603,-8.30603,-8.30603,-8.30603,-8.30603,-8.30603,-8.30603,-8.30603
41,39.89119,39.89119,39.89119,39.89119,39.89119,39.89119,39.89119,39.89119,39.89119,39.89119,39.89119,39.89119,39.89119,39.89119,39.89119,39.89119,39.89119,39.89119,39.89119,39.89119,39.89119
42,70.86392,70.86392,70.86392,70.86392,70.86392,70.86392,70.86392,70.86392,70.86392,70.86392,70.86392,70.86392,70.86392,70.86392,70.86392,70.86392,70.86392,70.86392,70.86392,70.86392,70.86392
43,34.131332,34.131332,34.131332,34.131332,34.131332,34.131332,34.131332,34.131332,34.131332,34.131332,34.131332,34.131332,34.131332,34.131332,34.131332,34.131332,34.131332,34.131332,34.131332,34.131332,34.131332
44,31.14209,31.14209,31.14209,31.14209,31.14209,31.14209,31.14209,31.14209,31.14209,31.14209,31.14209,31.14209,31.14209,31.14209,31.14209,31.14209,31.14209,31.14209,31.14209,31.14209,31.14209
45,-51.69072,-51.69072,-51.69072,-51.69072,-51.69072,-51.69072,-51.69072,-51.69072,-51.69072,-51.69072,-51.69072,-51.69072,-51.69072,-51.69072,-51.69072,-51.69072,-51.69072,-51.69072,-51.69072,-51.69072,-51.69072
46,-13.131485,-13.131485,-13.131485,-13.131485,-13.131485,-13.131485,-13.131485,-13.131485,-13.131485,-13.131485,-13.131485,-13.131485,-13.131485,-13.131485,-13.131485,-13.131485,-13.131485,-13.131485,-13.131485,-13.131485,-13.131485
47,-8.097702,-8.097702,-8.097702,-8.097702,-8.097702,-8.097702,-8.097702,-8.097702,-8.097702,-8.097702,-8.097702,-8.097702,-8.097702,-8.097702,-8.097702,-8.097702,-8.097702,-8.097702,-8.097702,-8.097702,-8.097702
48,30.61705,30.61705,30.61705,30.61705,30.61705,30.61705,30.61705,30.61705,30.61705,30.61705,30.61705,30.61705,30.61705,30.61705,30.61705,30.61705,30.61705,30.61705,30.61705,30.61705,30.61705
49,-56.285164,-56.285164,-56.285164,-56.285164,-56.285164,-56.285164,-56.285164,-56.285164,-56.285164,-56.285164,-56.285164,-56.285164,-56.285164,-56.285164,-56.285164,-56.285164,-56.285164,-56.285164,-56.285164,-56.285164,-56.285164
50,-1.8583832,-1.8583832,-1.8583832,-1.8583832,-1.8583832,-1.8583832,-1.8583832,-1.8583832,-1.8583832,-1.8583832,-1.8583832,-1.8583832,-1.8583832,-1.8583832,-1.8583832,-1.8583832,-1.8583832,-1.8583832,-1.8583832,-1.8583832,-1.8583832
51,3.428955,3.428955,3.428955,3.428955,3.428955,3.428955,3.428955,3.428955,3.428955,3.428955,3.428955,3.428955,3.428955,3.428955,3.428955,3.428955,3.428955,3.428955,3.428955,3.428955,3.428955
52,-36.932907,-36.932907,-36.932907,-36.932907,-36.932907,-36.932907,-36.932907,-36.932907,-36.932907,-36.932907,-36.932907,-36.932907,-36.932907,-36.932907,-36.932907,-36.932907,-36.932907,-36.932907,-36.932907,-36.932907,-36.932907
53,-28.817886,-28.817886,-28.817886,-28.817886,-28.817886,-28.817886,-28.817886,-28.817886,-28.817886,-28.817886,-28.817886,-28.817886,-28.817886,-28.817886,-28.817886,-28.817886,-28.817886,-28.817886,-28.817886,-28.817886,-28.817886
54,-19.632294,-19.632294,-19.632294,-19.632294,-19.632294,-19.632294,-19.632294,-19.632294,-19.632294,-19.632294,-19.632294,-19.632294,-19.632294,-19.632294,-19.632294,-19.632294,-19.632294,-19.632294,-19.632294,-19.632294,-19.632294
55,-33.297623,-33.297623,-33.297623,-33.297623,-33.297623,-33.297623,-33.297623,-33.297623,-33.297623,-33.297623,-33.297623,-33.297623,-33.297623,-33.297623,-33.297623,-33.297623,-33.297623,-33.297623,-33.297623,-33.297623,-33.297623
56,-2.812851,-2.812851,-2.812851,-2.812851,-2.812851,-2.812851,-2.812851,-2.812851,-2.812851,-2.812851,-2.812851,-2.812851,-2.812851,-2.812851,-2.812851,-2.812851,-2.812851,-2.812851,-2.812851,-2.812851,-2.812851
57,-70.11263,-70.11263,-70.11263,-70.11263,-70.11263,-70.11263,-70.11263,-70.11263,-70.11263,-70.11263,-70.11263,-70.11263,-70.11263,-70.11263,-70.11263,-70.11263,-70.11263,-70.11263,-70.11263,-70.11263,-70.11263
