sample_idx,influence_epoch_0,influence_epoch_1,influence_epoch_2,influence_epoch_3,influence_epoch_4,influence_epoch_5,influence_epoch_6,influence_epoch_7,influence_epoch_8,influence_epoch_9,influence_epoch_10,influence_epoch_11,influence_epoch_12,influence_epoch_13,influence_epoch_14,influence_epoch_15,influence_epoch_16,influence_epoch_17,influence_epoch_18,influence_epoch_19,influence_epoch_20
0,2.930847e-07,2.9725206e-07,2.942096e-07,3.1528577e-07,3.0378715e-07,3.2352284e-07,3.3482524e-07,3.2055073e-07,3.373243e-07,3.4187792e-07,3.4824052e-07,3.3958645e-07,3.328082e-07,3.3321749e-07,3.3202468e-07,3.336031e-07,3.2862317e-07,3.3549577e-07,3.3844663e-07,3.3749893e-07,3.1496847e-07
1,-4.3760615e-08,7.761756e-09,5.2184667e-08,8.767305e-08,1.1084325e-07,1.5073596e-07,1.7241999e-07,2.0781368e-07,2.2384802e-07,2.5181726e-07,2.7149372e-07,2.870445e-07,2.983561e-07,3.1140007e-07,3.2334037e-07,3.3183733e-07,3.3714446e-07,3.4589152e-07,3.481291e-07,3.5218545e-07,3.540922e-07
2,3.0703154e-07,3.161212e-07,3.0556805e-07,2.984952e-07,3.121413e-07,3.041231e-07,2.9888577e-07,2.9254625e-07,3.0289812e-07,3.0591104e-07,2.888546e-07,2.7981605e-07,2.8020872e-07,2.877291e-07,2.6875705e-07,2.605293e-07,2.6118232e-07,2.5605186e-07,2.4488054e-07,2.4327528e-07,2.3568691e-07
3,-1.9944153e-07,-1.8617769e-07,-1.7357314e-07,-1.5928106e-07,-1.4582236e-07,-1.3194187e-07,-1.1595114e-07,-1.036226e-07,-7.960057e-08,-6.3887455e-08,-4.954302e-08,-3.8206622e-08,-2.0627112e-08,-9.810719e-09,5.763127e-09,2.0574475e-08,3.203786e-08,4.0774466e-08,5.3290023e-08,6.4503865e-08,8.060226e-08
4,4.5491583e-07,4.5028003e-07,4.3780358e-07,4.5962452e-07,4.3449836e-07,4.6088053e-07,4.5152365e-07,4.4254352e-07,4.574324e-07,4.4374383e-07,4.5006482e-07,4.442495e-07,4.3733462e-07,4.195499e-07,4.010617e-07,4.1853536e-07,4.0535497e-07,4.026797e-07,3.8880899e-07,3.7813152e-07,3.7605332e-07
5,4.496462e-07,4.60056e-07,4.462387e-07,4.4472426e-07,4.3472824e-07,4.465055e-07,4.350502e-07,4.4415583e-07,4.3224895e-07,4.389526e-07,4.2096735e-07,4.2531337e-07,4.1736712e-07,4.2085867e-07,4.138392e-07,4.0305122e-07,3.816681e-07,3.9685892e-07,3.830546e-07,3.56893e-07,3.5774792e-07
6,1.888551e-07,1.8650877e-07,1.8438232e-07,1.952044e-07,1.9161422e-07,1.8703179e-07,1.893186e-07,1.9785023e-07,1.9114714e-07,2.0512971e-07,1.9281265e-07,1.9468757e-07,2.0725952e-07,2.1168535e-07,1.9989625e-07,2.0443235e-07,2.1770234e-07,2.0382708e-07,2.0829953e-07,2.1959045e-07,2.0908556e-07
7,7.512542e-08,1.09858696e-07,1.2146361e-07,1.3853926e-07,1.6879437e-07,1.8097353e-07,2.02151e-07,2.239293e-07,2.2942277e-07,2.4437372e-07,2.5805116e-07,2.76425e-07,2.78083e-07,2.948509e-07,2.973618e-07,3.0305614e-07,3.071193e-07,3.0811157e-07,3.1205082e-07,3.1153104e-07,3.1247737e-07
8,2.6798853e-07,2.7650594e-07,2.817015e-07,2.7077903e-07,2.8543002e-07,2.9206137e-07,3.1111108e-07,3.1113768e-07,3.0977162e-07,3.1688955e-07,3.1412105e-07,3.1835202e-07,3.3766696e-07,3.36453e-07,3.4072036e-07,3.197988e-07,3.3137803e-07,3.3035803e-07,3.3049082e-07,3.1223317e-07,3.1792615e-07
9,3.571925e-07,3.6332193e-07,3.7755422e-07,3.7594793e-07,3.954175e-07,3.8193002e-07,4.0910095e-07,3.9165093e-07,4.0897498e-07,3.9815518e-07,4.189269e-07,3.9885344e-07,3.972632e-07,3.9436281e-07,3.8957205e-07,4.0863324e-07,3.9455972e-07,3.7643213e-07,3.8171538e-07,3.7757673e-07,3.6726306e-07
