sample_idx,influence_epoch_0,influence_epoch_1,influence_epoch_2,influence_epoch_3,influence_epoch_4,influence_epoch_5,influence_epoch_6,influence_epoch_7,influence_epoch_8,influence_epoch_9,influence_epoch_10,influence_epoch_11,influence_epoch_12,influence_epoch_13,influence_epoch_14,influence_epoch_15,influence_epoch_16,influence_epoch_17,influence_epoch_18,influence_epoch_19,influence_epoch_20
0,3.2555336214115606e-05,4.2221430381187334e-05,4.1299040062628323e-05,4.092171936583742e-05,3.875403029355746e-05,3.785993791180953e-05,4.0495869245727946e-05,3.972786226396564e-05,3.940705554384329e-05,3.854441275549409e-05,3.6537691608519314e-05,3.577871222393143e-05,3.4563999635011914e-05,3.323704020109482e-05,3.225819329770237e-05,3.100573831324995e-05,3.1271008914927674e-05,3.098154768784969e-05,3.0505667375816855e-05,3.0037096608342793e-05,2.943116302253272e-05
1,5.90432088875775e-05,5.9288959371764084e-05,5.847765999022358e-05,5.7720430701009616e-05,5.867527840530025e-05,5.749742562964591e-05,5.535312803585536e-05,5.276412521508235e-05,5.057387915962684e-05,4.880454879829198e-05,4.817720667722965e-05,4.671131504588891e-05,4.554796933035495e-05,4.3327361705279606e-05,4.161657013853792e-05,4.029463741220766e-05,3.829471503387321e-05,3.6484693897661476e-05,3.470294515472901e-05,3.3207416007764765e-05,3.149401913666447e-05
2,3.072233995712369e-05,3.0355893333820065e-05,2.9658189322801078e-05,2.887110266473272e-05,2.81413904663161e-05,2.752754581569501e-05,2.7333979251928072e-05,2.673495719482167e-05,2.6529245605062627e-05,2.60953791889761e-05,2.5806049907216797e-05,2.529835557783301e-05,2.469582522888367e-05,2.413364766825567e-05,2.3643508043775208e-05,2.313442094910033e-05,2.243476412553095e-05,2.2017426079300097e-05,2.16482401363253e-05,2.127002848580976e-05,2.0898942372660997e-05
3,1.0215294073976644e-05,1.2573688608414156e-05,1.3120566117467483e-05,1.3429874746481902e-05,1.603138651217301e-05,1.6689870588852106e-05,2.7021371379170754e-05,2.6755316774799944e-05,2.6424702151893956e-05,1.419474372054762e-05,1.5822578379440226e-05,1.6021726566887544e-05,1.6218536161471398e-05,1.586625043854226e-05,1.543387391957832e-05,1.5476557099173903e-05,1.4292619525679035e-05,1.583183127891702e-05,1.489389393646797e-05,1.4305428326693979e-05,1.3599347824312482e-05
4,5.9817685240093787e-05,5.848793068424226e-05,5.685946848303785e-05,6.719209809042295e-05,6.539806364848461e-05,6.363294782183796e-05,6.25300081701233e-05,6.110367891340866e-05,5.959163132302544e-05,5.814789347112014e-05,5.649406722607131e-05,5.47666455144809e-05,5.252723941301293e-05,5.101143223490001e-05,4.958884510042142e-05,4.777225511581249e-05,4.63005463915292e-05,4.478153612882621e-05,4.369211435527576e-05,4.25181476022205e-05,4.132578768958996e-05
5,5.834617794413192e-05,5.688895316701255e-05,5.5250047927815824e-05,5.305697102567135e-05,5.148318924060066e-05,5.015740908239205e-05,6.172020501492149e-05,6.0135752437261165e-05,5.894689381388775e-05,5.734433614287637e-05,5.59169753984776e-05,5.41137252150338e-05,5.182152906619719e-05,5.012817741772641e-05,4.867923296276154e-05,4.6999938083799464e-05,4.558602332680298e-05,4.395069031103464e-05,4.289649143349258e-05,4.185244697019396e-05,4.0662512335834745e-05
6,1.2071145772781519e-05,1.1777482609579318e-05,2.4032576547311445e-05,2.3030680853868386e-05,2.25178080122461e-05,2.204692359251673e-05,2.20290457183776e-05,2.1669443078533307e-05,2.174631055589981e-05,2.1596380777832775e-05,2.999792641206836e-05,2.931429325756207e-05,2.835197942464149e-05,2.7675791534681077e-05,2.7131846634340076e-05,2.623096286572118e-05,2.5423673921473426e-05,2.4860494692960507e-05,2.445814012705657e-05,2.3959610628690843e-05,2.3482356222278627e-05
7,3.795466685779013e-05,3.94620421393378e-05,4.3998682261332304e-05,4.4461327843581296e-05,4.639265187203208e-05,4.6195443884798066e-05,4.488540024741172e-05,4.350713804655101e-05,4.242282536458966e-05,4.1709022387764016e-05,4.180055784494713e-05,4.085614788736931e-05,4.018652684516251e-05,3.861740666801594e-05,3.5280830912164405e-05,3.4482141352037517e-05,3.288570369275911e-05,3.189822124798198e-05,3.074506882540604e-05,2.9780253411520385e-05,2.861057221578386e-05
8,3.6626018181219474e-05,3.635957309386113e-05,3.5846175149311364e-05,3.5233995331076124e-05,5.225246695301548e-05,5.085652732666738e-05,5.0263393543962436e-05,4.884590911307688e-05,4.820779392537313e-05,4.7189810376003774e-05,4.608549070602054e-05,4.4686944025008134e-05,4.2871249319575724e-05,4.15412738561511e-05,4.028104700842834e-05,3.8941546362155204e-05,3.750512475466748e-05,3.63420258175542e-05,3.539044667873118e-05,3.448670090474139e-05,3.344613675869198e-05
9,6.355660861227348e-05,6.321009244630532e-05,6.201843511701123e-05,6.16230022548183e-05,5.976692858726124e-05,5.875835680137934e-05,5.806200937062664e-05,5.7278283972458554e-05,5.6281725122999574e-05,5.532054778852234e-05,5.3572723414035985e-05,5.232494965138901e-05,5.0339340944762433e-05,4.8742335164582606e-05,4.728257886174757e-05,4.552346644020901e-05,4.4137284666878754e-05,4.293515984774002e-05,4.170758928511332e-05,4.052884427968584e-05,3.935798822426963e-05
