sample_idx,influence_epoch_0,influence_epoch_1,influence_epoch_2,influence_epoch_3,influence_epoch_4,influence_epoch_5,influence_epoch_6,influence_epoch_7,influence_epoch_8,influence_epoch_9,influence_epoch_10,influence_epoch_11,influence_epoch_12,influence_epoch_13,influence_epoch_14,influence_epoch_15,influence_epoch_16,influence_epoch_17,influence_epoch_18,influence_epoch_19,influence_epoch_20
0,6.209723923628028e-05,6.111197842349875e-05,5.9921650131018246e-05,6.0092400496249805e-05,5.964429455880067e-05,5.9557041395001954e-05,5.8241440039643226e-05,5.733789734645802e-05,5.634285103351064e-05,5.594968509925566e-05,5.5200030319799975e-05,5.4639696897766406e-05,5.250603750269735e-05,5.108405248718711e-05,5.024357951361172e-05,4.8455288187385606e-05,4.760789977437678e-05,4.625590698127567e-05,4.492665186275281e-05,4.375919133575409e-05,4.2489142578161814e-05
1,2.7012726579962335e-05,2.5914004791567485e-05,2.49513312342331e-05,2.404816803934859e-05,1.5832202926921604e-05,1.5886493788024995e-05,1.563803906796469e-05,1.0060947047999967e-05,1.0441904670430723e-05,1.0621727024773983e-05,1.0832418403535179e-05,1.1308812426974056e-05,1.1719080818494757e-05,1.2034918300073763e-05,1.2486309535768362e-05,1.3040102778468413e-05,1.3522416238077609e-05,1.3640219761342648e-05,1.4014250850423107e-05,1.4245133678307364e-05,1.4403163233144008e-05
2,1.7398775187354593e-05,9.75105056711395e-06,8.930383927420957e-06,8.330058310756363e-06,7.4624924806497284e-06,7.014180494543333e-06,6.684395229606759e-06,6.088364782458744e-06,1.1260424739342771e-05,1.1008269460403118e-05,1.09493518453461e-05,1.0816506303534303e-05,1.1143302167643368e-05,1.1275235278733732e-05,1.1096662985990221e-05,1.1623574957546837e-05,1.194988198932878e-05,1.221598374171338e-05,1.227094116898124e-05,1.2370089909506359e-05,1.2387727703246313e-05
3,3.4778346144283136e-05,3.248970909032887e-05,2.9328523499944292e-05,2.743803030386052e-05,2.5692926174954425e-05,2.5089805513519828e-05,2.352741360414763e-05,2.2842993876460575e-05,4.509632813886955e-05,4.500232608153174e-05,4.426255016376587e-05,4.315674984045843e-05,4.150908611936815e-05,3.447996798148197e-05,3.477257904698209e-05,3.421596667625342e-05,5.817356421283156e-05,5.737135370092649e-05,5.6779266479369535e-05,5.64638325587462e-05,5.622376191235962e-05
4,2.3236838040476538e-05,2.2199393840929147e-05,2.1773763517002853e-05,2.073536954039656e-05,1.9293744368774427e-05,1.9209124103795544e-05,1.880801729124013e-05,1.9057905050877687e-05,1.8461040571302934e-05,1.7845420567334755e-05,1.7673722954644556e-05,1.7276209099367136e-05,1.7616496859291908e-05,1.6805424236591412e-05,1.640320927175147e-05,1.4091492134364159e-05,1.4471023823883857e-05,1.489057137115082e-05,1.49295813182011e-05,1.5118687912842502e-05,1.5083176019188645e-05
5,2.21880607089455e-05,2.109211894312831e-05,2.0621288044244982e-05,1.970206964483553e-05,1.817177088700516e-05,1.7946463728288978e-05,1.7551263600883077e-05,1.642013601186679e-05,1.5787459738530915e-05,1.51154709760316e-05,1.5018048302934434e-05,1.1953419904791462e-05,1.2599185066283115e-05,1.1926063224478218e-05,1.2179499249493932e-05,1.286400296130738e-05,1.2314469672470333e-05,1.2702076071986053e-05,1.5706076224744603e-05,1.590572794110163e-05,1.583784803093765e-05
6,2.2053479443424507e-05,2.1128929278753647e-05,2.039811222448566e-05,1.4166292698190825e-05,1.3321177960370498e-05,1.3214030980296114e-05,1.0197025574633796e-05,9.934577572107506e-06,1.039673469238027e-05,1.0337339023558307e-05,1.056612372475839e-05,1.0672516034578394e-05,1.1187308017591987e-05,1.1027151818929284e-05,1.1422983758887308e-05,1.2140874488233763e-05,1.1986328817637435e-05,1.2226851618172369e-05,1.2708183932129873e-05,1.2817078377089156e-05,1.265984517775306e-05
7,1.7751698335385703e-05,1.738792625263991e-05,1.7356909308853537e-05,1.693560963488764e-05,1.650466320318415e-05,1.6636707649552174e-05,1.6365674579738054e-05,1.630461200595524e-05,1.6391812333020965e-05,1.620700134893983e-05,1.619654527777042e-05,1.6046851140809364e-05,1.6148628656377598e-05,1.4923153237457277e-05,1.006826433716079e-05,1.0332363359544959e-05,1.071450905416824e-05,1.0806987068165443e-05,1.1096837515912418e-05,1.1188943272537452e-05,1.1343302098044967e-05
8,2.38649764415004e-05,2.438643527801699e-05,2.523940943712025e-05,2.6347661174128736e-05,2.6819714103010287e-05,2.6984149071124623e-05,4.826723014473239e-05,4.88891938913678e-05,4.897717033631903e-05,4.9744890293929674e-05,4.992883370840846e-05,5.0875742587226495e-05,5.037676999991639e-05,5.023900876931675e-05,5.1059870837043624e-05,5.065462439421171e-05,5.139002135785037e-05,5.054771626026732e-05,5.012674694121548e-05,4.98834451254467e-05,4.967446004415503e-05
9,6.840453787546802e-05,6.7124203755457e-05,6.564800063993726e-05,6.479358205143056e-05,6.429646747238762e-05,6.369722087879226e-05,6.207179338597763e-05,6.09625194396273e-05,5.999073857818679e-05,5.918463873627707e-05,5.840181741494555e-05,4.642108506766879e-05,4.54503562677626e-05,4.486195452228729e-05,4.456993311144979e-05,4.3636367036654176e-05,4.3572174800266854e-05,4.227845198205417e-05,4.156636112771046e-05,4.080184406575549e-05,4.0043651891659065e-05
10,1.6740442815347513e-05,1.6281572800749824e-05,5.919483242460445e-06,6.2662126720960066e-06,6.392985421502988e-06,7.035649964261954e-06,7.1212202854730665e-06,7.38438911817662e-06,7.77899225135261e-06,8.063048792096696e-06,8.300374995502981e-06,8.744789604520057e-06,9.138996756144151e-06,9.327338881471318e-06,9.764662628503278e-06,1.0290289117494012e-05,1.0759189633835525e-05,1.0927570733735258e-05,1.1405044155428332e-05,1.1707216677431041e-05,1.1728477443941777e-05
11,1.9654762958566068e-05,1.8611455864279175e-05,1.7453176910288922e-05,1.6210107125160246e-05,1.4914728193026686e-05,1.4230047257130388e-05,1.3757689964463959e-05,6.871583978004496e-06,6.050826026900531e-06,1.2334230204431602e-05,1.2292965687605593e-05,1.2252175572585381e-05,1.2417509103853294e-05,1.2492175528361773e-05,1.2489603265966685e-05,1.2930125278410248e-05,1.3406936166311977e-05,1.3570036174604953e-05,1.3648437939386927e-05,1.3876054871320197e-05,1.3772010351756061e-05
12,3.402978307749222e-05,5.2230328589887944e-05,5.109311683333506e-05,5.070191780830455e-05,5.284162225128888e-05,5.2958044840486525e-05,5.1801806723588364e-05,5.157461268367345e-05,5.096610238164952e-05,5.0484087533455e-05,4.9983405652809065e-05,4.936007850488777e-05,4.748882349195412e-05,4.659676063240618e-05,4.660487365891753e-05,4.523992204027598e-05,4.5178467220081925e-05,4.423362499756005e-05,4.326359941452037e-05,4.2397564339866356e-05,4.1699712896030337e-05
13,7.398210534989378e-05,7.277476236281084e-05,7.107306615791895e-05,7.014964216835982e-05,7.004117637512115e-05,6.954762368890844e-05,6.785147081014555e-05,6.72653356781843e-05,6.636484377608168e-05,6.580935916177142e-05,6.507584631822924e-05,6.4178448109682e-05,6.161524133144299e-05,6.010388639720535e-05,6.010582424761868e-05,5.815456392473409e-05,5.787988693006628e-05,5.634731124323677e-05,5.487220464699702e-05,5.388702323652808e-05,5.2628445934077125e-05
14,1.3461405566549098e-05,1.1796331671549973e-05,9.665366093723494e-06,7.719869745562536e-06,5.414369793416228e-06,4.271333870039893e-06,3.445151585931383e-06,1.878585378352414e-06,1.9358662742833357e-06,7.56477655048803e-07,3.2171986279605234e-07,-8.274668292753409e-07,-8.873568585124611e-07,-2.0506266255524195e-06,-2.7275247203562083e-06,-2.6331438464786874e-06,-4.0523081189698775e-06,-3.6768655541469573e-06,-3.7407740980924766e-06,-3.98873552425373e-06,-4.220790511312471e-06
15,7.864824429321707e-05,7.703157989189849e-05,7.558833848415311e-05,7.501071302210227e-05,7.436129403609976e-05,7.39114591926275e-05,7.197062419624226e-05,7.068848482177666e-05,6.950494962346517e-05,6.884358965086355e-05,6.760738829189684e-05,6.661953950963226e-05,6.397522900605889e-05,6.212944099763427e-05,6.133989607923453e-05,5.92780212284576e-05,5.846500851707102e-05,4.7187279207096666e-05,4.862981290020694e-05,4.786453361854415e-05,4.7058520109467426e-05
16,6.928917320274261e-05,6.790363462645737e-05,6.642563708563482e-05,6.533616201043587e-05,6.480120949102757e-05,4.7833159509886745e-05,4.778920979552097e-05,4.788152138513086e-05,4.772848563706295e-05,4.8228607281400574e-05,4.821436243630401e-05,4.864431852357935e-05,4.795659792111146e-05,4.738816155133022e-05,4.761673057989444e-05,4.669107778324083e-05,4.685389830629336e-05,4.5740020415883576e-05,4.520062871526056e-05,4.4500935900238795e-05,4.381206381581125e-05
17,3.308577844855079e-05,3.184091718845158e-05,3.0978412257480886e-05,2.978829239965925e-05,2.8259399838771042e-05,2.7632171801237755e-05,2.692399294215641e-05,2.6222650925359048e-05,2.5456297315234415e-05,1.9465901459978334e-05,1.95342362114825e-05,1.933139448724676e-05,1.948166669197964e-05,1.8933274442487633e-05,1.9189132390527193e-05,1.9337785287546143e-05,1.9040719602066032e-05,1.9071111632724245e-05,1.9441523514150022e-05,1.944018062903656e-05,1.9030175210788453e-05
18,6.148403815352385e-05,6.071706309886202e-05,5.9511106285912085e-05,4.317017593811933e-05,4.524271750797862e-05,4.613470245948596e-05,4.646097072776158e-05,4.705276424268703e-05,4.7445121788095895e-05,4.833235325966177e-05,4.854070728019739e-05,4.940031058180671e-05,4.878684566516237e-05,4.866001693587143e-05,4.9059704339573616e-05,4.820191989425932e-05,4.8817028874660926e-05,4.7849455623468515e-05,4.731582316967141e-05,4.687335268869683e-05,4.655676373853064e-05
