sample_idx,influence_epoch_0,influence_epoch_1,influence_epoch_2,influence_epoch_3,influence_epoch_4,influence_epoch_5,influence_epoch_6,influence_epoch_7,influence_epoch_8,influence_epoch_9,influence_epoch_10,influence_epoch_11,influence_epoch_12,influence_epoch_13,influence_epoch_14,influence_epoch_15,influence_epoch_16,influence_epoch_17,influence_epoch_18,influence_epoch_19,influence_epoch_20
0,7.610097e-08,7.5760234e-08,7.2956624e-08,7.1752766e-08,7.263864e-08,7.0072275e-08,7.196081e-08,7.010976e-08,6.989944e-08,7.047163e-08,6.970447e-08,6.869516e-08,6.807113e-08,6.809705e-08,6.7365704e-08,6.8202894e-08,6.5915515e-08,6.576852e-08,6.479047e-08,6.453331e-08,6.295534e-08
1,1.2022892e-07,1.20977e-07,1.2673672e-07,1.2795411e-07,1.3498288e-07,1.3496083e-07,1.4115193e-07,1.4459653e-07,1.4891157e-07,1.4781608e-07,1.5350133e-07,1.5585147e-07,1.5804335e-07,1.5990304e-07,1.6704098e-07,1.6741978e-07,1.7246657e-07,1.735184e-07,1.77939e-07,1.7825732e-07,1.806061e-07
2,-5.967674e-09,4.315656e-09,7.668377e-09,1.4309695e-08,1.952163e-08,2.8622416e-08,3.7896008e-08,4.1392163e-08,4.6706063e-08,5.493608e-08,6.497291e-08,6.872858e-08,7.496982e-08,8.186424e-08,8.836571e-08,9.30782e-08,1.0036598e-07,1.06737616e-07,1.1462896e-07,1.16865294e-07,1.2514658e-07
3,-2.7108e-08,-1.1698193e-08,2.7027411e-09,2.3747845e-08,2.8524944e-08,5.2477503e-08,5.6629375e-08,6.395568e-08,7.8001634e-08,8.4148866e-08,9.597255e-08,1.03908036e-07,1.1888011e-07,1.3097986e-07,1.3600453e-07,1.4089636e-07,1.5006549e-07,1.6410468e-07,1.680661e-07,1.7218349e-07,1.8691765e-07
4,1.6171176e-08,1.8465345e-08,3.274677e-08,3.695198e-08,4.2901036e-08,5.2426714e-08,5.433901e-08,6.395172e-08,7.10028e-08,7.680828e-08,7.737938e-08,8.194911e-08,9.2855146e-08,9.830961e-08,1.0561041e-07,1.0655606e-07,1.1408838e-07,1.2114424e-07,1.1954387e-07,1.2499333e-07,1.3764907e-07
5,3.692311e-08,3.9702016e-08,4.3901707e-08,4.7278917e-08,5.111994e-08,5.517012e-08,6.196521e-08,6.350234e-08,6.963302e-08,7.5282856e-08,8.2964334e-08,8.744644e-08,9.139728e-08,9.3107985e-08,1.000372e-07,1.0332462e-07,1.0481608e-07,1.09488155e-07,1.1476186e-07,1.1619784e-07,1.17605964e-07
6,1.5473506e-07,1.6080071e-07,1.6330421e-07,1.7067521e-07,1.8302939e-07,1.8463498e-07,1.9455683e-07,1.9416711e-07,1.9854178e-07,2.0600874e-07,2.1049959e-07,2.1033065e-07,2.1585083e-07,2.2119161e-07,2.2113386e-07,2.2491622e-07,2.3035659e-07,2.3261714e-07,2.307745e-07,2.370682e-07,2.3753364e-07
7,8.624768e-08,9.796916e-08,1.03161796e-07,1.1016695e-07,1.2195238e-07,1.2117698e-07,1.2722836e-07,1.3518189e-07,1.4571361e-07,1.444364e-07,1.5533203e-07,1.5915327e-07,1.6266563e-07,1.7216132e-07,1.7041441e-07,1.8040146e-07,1.8378546e-07,1.889523e-07,1.8886612e-07,1.9406934e-07,1.9896083e-07
8,-1.1957728e-07,-1.0179794e-07,-9.045442e-08,-6.9447765e-08,-5.8262714e-08,-4.377287e-08,-2.7405804e-08,-1.647959e-08,-6.613732e-10,2.3443874e-08,4.224802e-08,5.6889775e-08,6.10535e-08,8.164355e-08,9.8191634e-08,1.1668004e-07,1.1937448e-07,1.3826909e-07,1.4927448e-07,1.6092957e-07,1.6773782e-07
9,1.37642e-07,1.5513048e-07,1.5706235e-07,1.7784095e-07,1.7830871e-07,1.9582416e-07,1.9825643e-07,2.158854e-07,2.1661629e-07,2.2512756e-07,2.33636e-07,2.4183146e-07,2.562415e-07,2.6153862e-07,2.6365592e-07,2.7266378e-07,2.8088652e-07,2.8550448e-07,2.8864815e-07,2.9091507e-07,2.9353168e-07
10,-1.93554e-08,-1.360775e-08,-1.7526673e-09,4.4906088e-09,1.9117387e-08,2.6595334e-08,4.179044e-08,5.29705e-08,6.9888515e-08,7.31965e-08,9.3465104e-08,9.876305e-08,1.15746786e-07,1.2593466e-07,1.3391133e-07,1.4121639e-07,1.5190574e-07,1.6576462e-07,1.6730576e-07,1.7836635e-07,1.8315268e-07
11,1.9435511e-07,1.9471211e-07,1.9569273e-07,1.9733591e-07,1.9840695e-07,2.0033247e-07,2.0363393e-07,2.0397727e-07,2.0641676e-07,2.0846755e-07,2.0996686e-07,2.1350934e-07,2.1536471e-07,2.1646406e-07,2.1734536e-07,2.1992855e-07,2.1950791e-07,2.2071708e-07,2.2181712e-07,2.1907863e-07,2.192919e-07
12,2.9926102e-08,2.6452422e-08,1.853617e-08,1.6897388e-08,1.23513e-08,1.1676278e-08,8.581914e-09,1.3282033e-09,1.9680328e-09,-4.619494e-09,-6.060901e-09,-8.434377e-09,-1.3808723e-08,-1.4325067e-08,-2.0772902e-08,-1.8805807e-08,-2.5087886e-08,-2.8563349e-08,-2.780672e-08,-3.345464e-08,-3.488894e-08
13,-5.0606104e-08,-3.65753e-08,-3.211491e-08,-1.9536643e-08,-8.942919e-09,1.3527881e-09,8.716427e-09,2.3260881e-08,2.8271089e-08,3.7812235e-08,4.6777636e-08,6.497645e-08,6.7140064e-08,7.734869e-08,8.942244e-08,9.907305e-08,1.14357874e-07,1.16125705e-07,1.2981292e-07,1.3535282e-07,1.4142637e-07
