sample_idx,influence_epoch_0,influence_epoch_1,influence_epoch_2,influence_epoch_3,influence_epoch_4,influence_epoch_5,influence_epoch_6,influence_epoch_7,influence_epoch_8,influence_epoch_9,influence_epoch_10,influence_epoch_11,influence_epoch_12,influence_epoch_13,influence_epoch_14,influence_epoch_15,influence_epoch_16,influence_epoch_17,influence_epoch_18,influence_epoch_19,influence_epoch_20
0,-9.706779454301037e-06,-8.84909338505746e-06,-7.365167652136353e-06,-5.890072140900992e-06,-5.053803893132612e-06,-5.023540181718012e-06,-5.24658254283524e-06,-5.237664686782519e-06,-4.711200726007886e-06,-4.108259531651626e-06,-3.3491763783188716e-06,-2.717228815537999e-06,-2.5623823759945576e-06,-1.8694434442598865e-06,-1.179627715905343e-06,-7.842325186513623e-07,-5.307002593505188e-07,-3.052763745271316e-07,1.7467717196313984e-07,2.434826134864021e-07,3.229636759195109e-07
1,9.554479592358958e-06,9.705900658932125e-06,9.760590984032632e-06,9.775353741190954e-06,1.0291102648109998e-05,1.0734238778522566e-05,1.1122849163098874e-05,1.1644447116360535e-05,1.199001312307049e-05,1.2099197948997944e-05,1.201973482736275e-05,1.1763252744067536e-05,1.1968392227744398e-05,1.1896847218736905e-05,1.1887278340468534e-05,1.1803577375937422e-05,1.1765744915121676e-05,1.1692543719182419e-05,1.1597401732307472e-05,1.1657983054006134e-05,1.1534368408109588e-05
2,1.1130170456425622e-05,1.1858609553386823e-05,1.3336180535450527e-05,1.4613455421236539e-05,1.600196166426464e-05,1.618703580098281e-05,1.602436198800075e-05,1.6215602729682475e-05,1.6949724988660394e-05,1.7465028920148106e-05,1.806379450429368e-05,1.8203689219301343e-05,1.8472518205864824e-05,1.8749282712518417e-05,1.9021058019558863e-05,1.8849688139800132e-05,1.8820078884135565e-05,1.8824940603191335e-05,1.866499138738015e-05,1.847872600236549e-05,1.825182811008669e-05
3,5.219187090911567e-05,4.884612837140991e-05,4.531716044219605e-05,4.311179441850164e-05,4.163277759196018e-05,4.0526037147871304e-05,3.990208921193063e-05,3.904735532002401e-05,3.7222877848987096e-05,3.557382821281046e-05,3.406147174373774e-05,3.274621564903568e-05,3.151015859625317e-05,2.9682844790584463e-05,2.839871641934771e-05,2.6916663547121635e-05,2.616395494688384e-05,2.5373848987082648e-05,2.4682564603711235e-05,2.397509672906233e-05,2.3627503722760507e-05
4,2.1122353780637285e-05,2.0387949778201033e-05,1.924649577997507e-05,1.8434285255375327e-05,1.8230949673947906e-05,1.8309429402212704e-05,1.853707649383582e-05,1.8644623059746466e-05,1.8543528138091652e-05,1.820606683182139e-05,1.7628666489769747e-05,1.7125170343077903e-05,1.7045382634860168e-05,1.653174737135845e-05,1.58681636414669e-05,1.5595539627245336e-05,1.5369773491597383e-05,1.509971840781229e-05,1.4779439101844607e-05,1.4642687097872147e-05,1.449681023083735e-05
5,1.264047198840319e-05,1.245250212970698e-05,1.3128994619986768e-05,1.3927597707314179e-05,1.4303757779259345e-05,1.375911564168524e-05,5.892885544327218e-06,6.275563497451536e-06,7.161551472732016e-06,7.631788911311956e-06,8.286117884410285e-06,7.758993410981662e-06,7.949300689169716e-06,8.31027785698257e-06,8.800522401141744e-06,8.888951200841085e-06,9.019933634802546e-06,9.208106929651647e-06,9.362210987338214e-06,9.45827914318026e-06,9.338987409189903e-06
6,3.1688098313023486e-05,3.108403909090958e-05,3.043653411333473e-05,2.9913895219803123e-05,2.9824982939468895e-05,1.7504721151471286e-05,1.7750167166843286e-05,1.8171863270101578e-05,1.8234698751107826e-05,1.8105702693388303e-05,1.8014576465368256e-05,1.78281466898471e-05,1.7990954919179543e-05,1.786924460767869e-05,1.7768616095400255e-05,1.7616530200946202e-05,1.7550600685259576e-05,1.7437555178158443e-05,1.7182123026857496e-05,1.7303688881349388e-05,1.7197556083414445e-05
7,2.2837088606126165e-05,2.198404512306504e-05,2.0745717380166466e-05,1.976907799250249e-05,1.951752596605797e-05,1.9619574423649288e-05,1.9847567406546798e-05,1.9967168119233667e-05,1.9706787854553045e-05,1.930643412674935e-05,1.8643801900103758e-05,1.805455058723196e-05,1.8033861476325502e-05,1.756221065791745e-05,1.6908692259227834e-05,1.6598748412210365e-05,1.6347430816105166e-05,1.6062920433505323e-05,1.5690876414247274e-05,1.5557412715010595e-05,1.5392335782858554e-05
8,3.742934287907872e-05,2.196998014148343e-05,2.5651294464745277e-05,2.7771991145203917e-05,3.0507432978607057e-05,3.095711452455277e-05,3.143570568676713e-05,3.313774361599659e-05,3.5266357484055207e-05,3.683639506059702e-05,3.804149097657643e-05,3.8659512479371104e-05,4.097362774979432e-05,4.217715011697565e-05,4.2845806212064035e-05,4.3020904697825875e-05,4.292030688078931e-05,4.2608270406057344e-05,4.3272709556784966e-05,4.398627661326113e-05,4.36990506442697e-05
9,4.3023843842572584e-05,4.1929502491923035e-05,4.085475863475458e-05,3.9663458616283875e-05,3.960032486814984e-05,3.937915940464757e-05,3.9276269346131656e-05,3.9066921246237656e-05,3.844646838235838e-05,3.762886648022877e-05,3.662127865630009e-05,3.567949655534965e-05,3.548009457324901e-05,3.468046753281251e-05,3.371763233464628e-05,3.284446042872136e-05,3.2362047113275954e-05,3.175501385483152e-05,3.0841407339948276e-05,3.0329977260505223e-05,2.9983736668589567e-05
10,2.752364622201031e-05,2.791333144540468e-05,3.0067577845022478e-05,3.124125921660435e-05,3.2519651551641766e-05,3.2199428302185806e-05,3.135653543166104e-05,3.209519101050282e-05,3.354139455531974e-05,3.482464886934921e-05,3.555941250737488e-05,3.515468012277333e-05,3.6492099492589605e-05,3.7116775568101645e-05,3.7411425461509615e-05,3.728523585537724e-05,3.673828365950275e-05,3.635284073425999e-05,3.700792839735817e-05,3.723930747579204e-05,3.6601149112329835e-05
11,-8.736458010166505e-06,-7.099478713080713e-06,-4.733962242253189e-06,-3.2883763032948728e-06,-1.7866394846239963e-06,-1.1663872195028249e-06,-5.813207695998604e-07,5.771616024324608e-07,1.8585814355933554e-06,2.922002300403806e-06,4.102011227316318e-06,4.513579780554634e-06,5.824768040930571e-06,7.119472143075135e-06,7.698602530146151e-06,8.570792623957819e-06,9.165218592358984e-06,9.459263743998179e-06,1.0079769974026618e-05,1.0868995846332595e-05,1.095038808914436e-05
12,-2.1968847864376358e-05,-2.1362059869505088e-05,-2.040433926026333e-05,-1.927548730100421e-05,-1.8965563645550374e-05,-1.9010190569036902e-05,-1.914199150988512e-05,-1.9057337490949237e-05,-1.8564317722949208e-05,-1.8016922210551815e-05,-1.7247332180942478e-05,-1.6606916687511326e-05,-1.6583713130075862e-05,-1.5932587153279033e-05,-1.5286028078709302e-05,-1.4633136765623251e-05,-1.4385612186127075e-05,-1.4172336253245048e-05,-1.3465322609452433e-05,-1.322050237839294e-05,-1.3154121588488113e-05
13,4.524801651208261e-06,5.897224833021253e-06,8.887444833367544e-06,1.0400155479079476e-05,1.1966466466448228e-05,1.21730402271533e-05,1.2404461354440745e-05,1.3654879557655492e-05,1.5229891620066508e-05,1.634962714369246e-05,1.7527118212746094e-05,1.8191340194624996e-05,1.9589766193534808e-05,2.0749916736371216e-05,2.1456210876526706e-05,2.2229758646857866e-05,2.2320949866226232e-05,2.2598992547810593e-05,2.350236743335259e-05,2.4135959469071463e-05,2.4069164129881797e-05
14,2.40056430734362e-05,3.4787266146967655e-05,3.345181833864217e-05,3.226525203697005e-05,3.202952070462119e-05,3.197912800449673e-05,3.207255144569831e-05,3.217865765857929e-05,3.1686072454005856e-05,3.099321760647426e-05,3.0072299230296146e-05,2.9172780805010865e-05,2.9063138589750088e-05,2.829597175655133e-05,2.7395602297007354e-05,2.677570001472499e-05,2.6409945705546904e-05,2.594395847936869e-05,2.5238755192089136e-05,2.4923186649520138e-05,2.4632741437559285e-05
