sample_idx,influence_epoch_0,influence_epoch_1,influence_epoch_2,influence_epoch_3,influence_epoch_4,influence_epoch_5,influence_epoch_6,influence_epoch_7,influence_epoch_8,influence_epoch_9,influence_epoch_10,influence_epoch_11,influence_epoch_12,influence_epoch_13,influence_epoch_14,influence_epoch_15,influence_epoch_16,influence_epoch_17,influence_epoch_18,influence_epoch_19,influence_epoch_20
0,-14.43634,-14.43634,-14.43634,-14.43634,-14.43634,-14.43634,-14.43634,-14.43634,-14.43634,-14.43634,-14.43634,-14.43634,-14.43634,-14.43634,-14.43634,-14.43634,-14.43634,-14.43634,-14.43634,-14.43634,-14.43634
1,-13.79982,-13.79982,-13.79982,-13.79982,-13.79982,-13.79982,-13.79982,-13.79982,-13.79982,-13.79982,-13.79982,-13.79982,-13.79982,-13.79982,-13.79982,-13.79982,-13.79982,-13.79982,-13.79982,-13.79982,-13.79982
2,-6.39563,-6.39563,-6.39563,-6.39563,-6.39563,-6.39563,-6.39563,-6.39563,-6.39563,-6.39563,-6.39563,-6.39563,-6.39563,-6.39563,-6.39563,-6.39563,-6.39563,-6.39563,-6.39563,-6.39563,-6.39563
3,-10.1706085,-10.1706085,-10.1706085,-10.1706085,-10.1706085,-10.1706085,-10.1706085,-10.1706085,-10.1706085,-10.1706085,-10.1706085,-10.1706085,-10.1706085,-10.1706085,-10.1706085,-10.1706085,-10.1706085,-10.1706085,-10.1706085,-10.1706085,-10.1706085
4,-6.0223083,-6.0223083,-6.0223083,-6.0223083,-6.0223083,-6.0223083,-6.0223083,-6.0223083,-6.0223083,-6.0223083,-6.0223083,-6.0223083,-6.0223083,-6.0223083,-6.0223083,-6.0223083,-6.0223083,-6.0223083,-6.0223083,-6.0223083,-6.0223083
5,114.54416,114.54416,114.54416,114.54416,114.54416,114.54416,114.54416,114.54416,114.54416,114.54416,114.54416,114.54416,114.54416,114.54416,114.54416,114.54416,114.54416,114.54416,114.54416,114.54416,114.54416
6,15.738388,15.738388,15.738388,15.738388,15.738388,15.738388,15.738388,15.738388,15.738388,15.738388,15.738388,15.738388,15.738388,15.738388,15.738388,15.738388,15.738388,15.738388,15.738388,15.738388,15.738388
7,19.848007,19.848007,19.848007,19.848007,19.848007,19.848007,19.848007,19.848007,19.848007,19.848007,19.848007,19.848007,19.848007,19.848007,19.848007,19.848007,19.848007,19.848007,19.848007,19.848007,19.848007
8,-18.388092,-18.388092,-18.388092,-18.388092,-18.388092,-18.388092,-18.388092,-18.388092,-18.388092,-18.388092,-18.388092,-18.388092,-18.388092,-18.388092,-18.388092,-18.388092,-18.388092,-18.388092,-18.388092,-18.388092,-18.388092
9,2.1995087,2.1995087,2.1995087,2.1995087,2.1995087,2.1995087,2.1995087,2.1995087,2.1995087,2.1995087,2.1995087,2.1995087,2.1995087,2.1995087,2.1995087,2.1995087,2.1995087,2.1995087,2.1995087,2.1995087,2.1995087
10,1.5443115,1.5443115,1.5443115,1.5443115,1.5443115,1.5443115,1.5443115,1.5443115,1.5443115,1.5443115,1.5443115,1.5443115,1.5443115,1.5443115,1.5443115,1.5443115,1.5443115,1.5443115,1.5443115,1.5443115,1.5443115
11,76.813385,76.813385,76.813385,76.813385,76.813385,76.813385,76.813385,76.813385,76.813385,76.813385,76.813385,76.813385,76.813385,76.813385,76.813385,76.813385,76.813385,76.813385,76.813385,76.813385,76.813385
12,7.0264435,7.0264435,7.0264435,7.0264435,7.0264435,7.0264435,7.0264435,7.0264435,7.0264435,7.0264435,7.0264435,7.0264435,7.0264435,7.0264435,7.0264435,7.0264435,7.0264435,7.0264435,7.0264435,7.0264435,7.0264435
13,-2.95224,-2.95224,-2.95224,-2.95224,-2.95224,-2.95224,-2.95224,-2.95224,-2.95224,-2.95224,-2.95224,-2.95224,-2.95224,-2.95224,-2.95224,-2.95224,-2.95224,-2.95224,-2.95224,-2.95224,-2.95224
14,-7.6971893,-7.6971893,-7.6971893,-7.6971893,-7.6971893,-7.6971893,-7.6971893,-7.6971893,-7.6971893,-7.6971893,-7.6971893,-7.6971893,-7.6971893,-7.6971893,-7.6971893,-7.6971893,-7.6971893,-7.6971893,-7.6971893,-7.6971893,-7.6971893
15,-11.8224945,-11.8224945,-11.8224945,-11.8224945,-11.8224945,-11.8224945,-11.8224945,-11.8224945,-11.8224945,-11.8224945,-11.8224945,-11.8224945,-11.8224945,-11.8224945,-11.8224945,-11.8224945,-11.8224945,-11.8224945,-11.8224945,-11.8224945,-11.8224945
16,-6.422989,-6.422989,-6.422989,-6.422989,-6.422989,-6.422989,-6.422989,-6.422989,-6.422989,-6.422989,-6.422989,-6.422989,-6.422989,-6.422989,-6.422989,-6.422989,-6.422989,-6.422989,-6.422989,-6.422989,-6.422989
17,-10.476028,-10.476028,-10.476028,-10.476028,-10.476028,-10.476028,-10.476028,-10.476028,-10.476028,-10.476028,-10.476028,-10.476028,-10.476028,-10.476028,-10.476028,-10.476028,-10.476028,-10.476028,-10.476028,-10.476028,-10.476028
18,-7.03067,-7.03067,-7.03067,-7.03067,-7.03067,-7.03067,-7.03067,-7.03067,-7.03067,-7.03067,-7.03067,-7.03067,-7.03067,-7.03067,-7.03067,-7.03067,-7.03067,-7.03067,-7.03067,-7.03067,-7.03067
19,-9.526825,-9.526825,-9.526825,-9.526825,-9.526825,-9.526825,-9.526825,-9.526825,-9.526825,-9.526825,-9.526825,-9.526825,-9.526825,-9.526825,-9.526825,-9.526825,-9.526825,-9.526825,-9.526825,-9.526825,-9.526825
20,-15.411591,-15.411591,-15.411591,-15.411591,-15.411591,-15.411591,-15.411591,-15.411591,-15.411591,-15.411591,-15.411591,-15.411591,-15.411591,-15.411591,-15.411591,-15.411591,-15.411591,-15.411591,-15.411591,-15.411591,-15.411591
21,-26.849457,-26.849457,-26.849457,-26.849457,-26.849457,-26.849457,-26.849457,-26.849457,-26.849457,-26.849457,-26.849457,-26.849457,-26.849457,-26.849457,-26.849457,-26.849457,-26.849457,-26.849457,-26.849457,-26.849457,-26.849457
22,18.1165,18.1165,18.1165,18.1165,18.1165,18.1165,18.1165,18.1165,18.1165,18.1165,18.1165,18.1165,18.1165,18.1165,18.1165,18.1165,18.1165,18.1165,18.1165,18.1165,18.1165
23,-15.460449,-15.460449,-15.460449,-15.460449,-15.460449,-15.460449,-15.460449,-15.460449,-15.460449,-15.460449,-15.460449,-15.460449,-15.460449,-15.460449,-15.460449,-15.460449,-15.460449,-15.460449,-15.460449,-15.460449,-15.460449
24,-25.555252,-25.555252,-25.555252,-25.555252,-25.555252,-25.555252,-25.555252,-25.555252,-25.555252,-25.555252,-25.555252,-25.555252,-25.555252,-25.555252,-25.555252,-25.555252,-25.555252,-25.555252,-25.555252,-25.555252,-25.555252
25,-12.303207,-12.303207,-12.303207,-12.303207,-12.303207,-12.303207,-12.303207,-12.303207,-12.303207,-12.303207,-12.303207,-12.303207,-12.303207,-12.303207,-12.303207,-12.303207,-12.303207,-12.303207,-12.303207,-12.303207,-12.303207
26,37.71805,37.71805,37.71805,37.71805,37.71805,37.71805,37.71805,37.71805,37.71805,37.71805,37.71805,37.71805,37.71805,37.71805,37.71805,37.71805,37.71805,37.71805,37.71805,37.71805,37.71805
27,-44.73372,-44.73372,-44.73372,-44.73372,-44.73372,-44.73372,-44.73372,-44.73372,-44.73372,-44.73372,-44.73372,-44.73372,-44.73372,-44.73372,-44.73372,-44.73372,-44.73372,-44.73372,-44.73372,-44.73372,-44.73372
28,17.954147,17.954147,17.954147,17.954147,17.954147,17.954147,17.954147,17.954147,17.954147,17.954147,17.954147,17.954147,17.954147,17.954147,17.954147,17.954147,17.954147,17.954147,17.954147,17.954147,17.954147
29,12.055328,12.055328,12.055328,12.055328,12.055328,12.055328,12.055328,12.055328,12.055328,12.055328,12.055328,12.055328,12.055328,12.055328,12.055328,12.055328,12.055328,12.055328,12.055328,12.055328,12.055328
30,-4.4272614,-4.4272614,-4.4272614,-4.4272614,-4.4272614,-4.4272614,-4.4272614,-4.4272614,-4.4272614,-4.4272614,-4.4272614,-4.4272614,-4.4272614,-4.4272614,-4.4272614,-4.4272614,-4.4272614,-4.4272614,-4.4272614,-4.4272614,-4.4272614
31,-16.95198,-16.95198,-16.95198,-16.95198,-16.95198,-16.95198,-16.95198,-16.95198,-16.95198,-16.95198,-16.95198,-16.95198,-16.95198,-16.95198,-16.95198,-16.95198,-16.95198,-16.95198,-16.95198,-16.95198,-16.95198
32,-30.489304,-30.489304,-30.489304,-30.489304,-30.489304,-30.489304,-30.489304,-30.489304,-30.489304,-30.489304,-30.489304,-30.489304,-30.489304,-30.489304,-30.489304,-30.489304,-30.489304,-30.489304,-30.489304,-30.489304,-30.489304
33,-26.572556,-26.572556,-26.572556,-26.572556,-26.572556,-26.572556,-26.572556,-26.572556,-26.572556,-26.572556,-26.572556,-26.572556,-26.572556,-26.572556,-26.572556,-26.572556,-26.572556,-26.572556,-26.572556,-26.572556,-26.572556
