sample_idx,influence_epoch_0,influence_epoch_1,influence_epoch_2,influence_epoch_3,influence_epoch_4,influence_epoch_5,influence_epoch_6,influence_epoch_7,influence_epoch_8,influence_epoch_9,influence_epoch_10,influence_epoch_11,influence_epoch_12,influence_epoch_13,influence_epoch_14,influence_epoch_15,influence_epoch_16,influence_epoch_17,influence_epoch_18,influence_epoch_19,influence_epoch_20
0,9.534994954676452e-06,9.547937836711775e-06,9.621360350041034e-06,9.610783741732994e-06,9.907624372032202e-06,9.916176933626899e-06,9.9916120293681e-06,1.0017409565384417e-05,1.0111298447380992e-05,1.0323395573569036e-05,1.0370237239955502e-05,1.046159671448846e-05,1.043357504037843e-05,1.053134921065696e-05,1.577576001648269e-05,1.5969658079220876e-05,1.6365977306803678e-05,1.6492864588716522e-05,1.687612954241991e-05,1.685330557812425e-05,1.698168352469042e-05
1,1.242988258845458e-05,1.2431771992625213e-05,1.2446571670304357e-05,1.23275809565999e-05,1.2455936773390753e-05,1.240770527704011e-05,1.2249434155432084e-05,1.2280724068233906e-05,1.2360767419570989e-05,1.2461770139395214e-05,1.2399052703476292e-05,1.2381946820937937e-05,1.2284577477494434e-05,1.2328114670475538e-05,1.2407479601688563e-05,1.257884063447172e-05,1.2522196445023205e-05,1.264971796659693e-05,1.257458730287791e-05,1.2580292715263339e-05,1.2465790607743335e-05
2,2.184860265377773e-05,2.1133829228022645e-05,2.0088145098423136e-05,1.9257696139840558e-05,1.8102704121909762e-05,1.762506999669961e-05,1.631463803975488e-05,1.5588528635210832e-05,1.4907034051943592e-05,1.3800919797633561e-05,1.3295799579484021e-05,8.426198578806065e-06,8.135176288048916e-06,7.726585221704547e-06,7.351088553555472e-06,2.0674731663886496e-06,2.124313327589428e-06,1.9040699403465387e-06,1.923934086997512e-06,2.131275211221379e-06,2.170289515683036e-06
3,3.8319184165529876e-06,4.116026291143846e-06,4.505339454118616e-06,4.574837591948111e-06,4.828708831998464e-06,5.0970423379292835e-06,5.309055507381387e-06,5.425637054354576e-06,5.52907352803448e-06,5.832024883471017e-06,5.945209638726943e-06,6.18689122054306e-06,6.215750791302749e-06,6.5389000319095745e-06,6.633456068555149e-06,6.705985369283214e-06,6.9752692622279735e-06,7.155295512580656e-06,7.456561957624471e-06,7.480558301817253e-06,7.6526777927e-06
4,-3.197171689229147e-06,-2.7850449747854705e-06,-2.156666193465096e-06,-1.6570019209334563e-06,-6.950102767520296e-07,-2.147925360681854e-07,8.21469413217153e-07,1.242721244133456e-06,1.7749521586434827e-06,2.776473844763731e-06,4.418822541437311e-06,4.674278772353184e-06,4.660212446127905e-06,4.80663671505118e-06,5.258719273785944e-06,5.756707936863511e-06,5.99077839346052e-06,6.2502934305748705e-06,6.353233076725912e-06,6.392963568031696e-06,6.468599183827879e-06
5,2.5581636417354567e-05,2.5022251200377602e-05,2.3769347926501956e-05,2.2345574670913693e-05,2.141170021280664e-05,2.1359157350924086e-05,3.132275931107012e-05,3.045616421658102e-05,2.9353740595332688e-05,2.890743796222018e-05,2.8261574913193443e-05,2.8129063513090198e-05,2.6949832613499684e-05,2.6345068464234484e-05,2.5974545478523562e-05,2.5383175851541923e-05,2.814649965196459e-05,2.7907274184390902e-05,2.765084369521717e-05,2.7152189997525786e-05,2.6473876929100318e-05
6,4.445878640547662e-05,4.352018914102303e-05,4.186148245747552e-05,3.988329445551361e-05,3.863011333626271e-05,3.832836560783333e-05,3.755865757183672e-05,3.642171392673879e-05,3.537217298322056e-05,3.4934250445569815e-05,3.427125882656324e-05,3.403035578458017e-05,3.3025485098321595e-05,3.225341426268045e-05,3.183057000952093e-05,3.1230505713383446e-05,3.1140478621344865e-05,3.07968226105176e-05,3.0326630917923107e-05,2.9839742830658228e-05,2.9003602880935566e-05
7,6.19870161630464e-06,6.611358590573831e-06,6.90664748925718e-06,7.117718990618366e-06,7.64254239182072e-06,8.018526371406706e-06,8.539909935500867e-06,8.755466264660032e-06,9.13955559199561e-06,9.755648117055745e-06,1.0142891423626823e-05,1.0623076998708961e-05,1.0792759573000713e-05,1.137117148125225e-05,1.170316470387633e-05,1.1853828287577616e-05,1.2364336058028665e-05,1.26560454738486e-05,1.3183251971217848e-05,1.3270870719601263e-05,1.347229836342091e-05
8,2.9440925947600352e-05,2.854806233041931e-05,2.7235301749310857e-05,2.6191917637405106e-05,2.4619488819281516e-05,1.5934195577689586e-05,1.4926269947849609e-05,1.4476497665766214e-05,1.3793244994766551e-05,1.2708961448253244e-05,1.206539889002234e-05,1.1164615787884846e-05,1.0810198716635169e-05,1.0220160797742809e-05,9.678767900022797e-06,9.587562351405192e-06,8.820578615102161e-06,8.299684807085805e-06,7.554563454889735e-06,7.324633078138967e-06,6.77527838250385e-06
9,1.7634697796857684e-05,1.7668455199793682e-05,1.764307088989948e-05,1.7458642325515775e-05,1.7576585286565526e-05,1.7485607458631986e-05,1.7236504491492105e-05,1.7201342964152134e-05,1.722360518986739e-05,1.7121810364787593e-05,1.69839527742237e-05,1.6919688056563204e-05,1.676981232174489e-05,1.6732200897372307e-05,1.6668612844387956e-05,1.670990940730295e-05,1.6511092915769213e-05,1.661939822442193e-05,1.6497177048739918e-05,1.6469464544804175e-05,1.6283312073281177e-05
