epoch,num_dropped,num_relabelled,num_overlap_dropped,overlap_ratio_dropped,num_overlap_kept,overlap_ratio_kept
0,205,614,0,0.0,614,1.0
1,205,614,149,0.24267100977198697,465,0.757328990228013
2,205,614,161,0.2752442996742671,445,0.7247557003257329
3,205,614,169,0.2752442996742671,445,0.7247557003257329
4,205,614,165,0.2687296416938111,449,0.7312703583061889
5,205,614,124,0.20195439739413681,490,0.7980456026058632
6,205,614,158,0.12214983713355049,539,0.8778501628664495
7,205,614,160,0.26058631921824105,454,0.739413680781759
8,205,614,144,0.15472312703583063,519,0.8452768729641694
9,205,614,124,0.20195439739413681,490,0.7980456026058632
